,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.962000,809.565186,-956.762817,1197.324219,-21.362747,-4.972058,-19.121256,1
0.974000,801.481873,-958.910828,1197.284668,-21.500126,-4.783574,-19.301979,1
0.987000,796.651611,-958.895447,1196.623779,-21.498327,-4.701675,-19.502802,1
0.999000,794.761108,-959.913635,1197.182495,-21.506350,-4.741903,-19.677227,1
1.012000,786.751953,-959.797363,1195.899536,-21.560089,-4.510540,-19.838568,1
1.024000,785.135681,-960.884399,1196.545654,-21.577826,-4.544249,-19.975107,1
1.037000,781.174438,-960.909790,1196.099976,-21.594631,-4.459102,-20.096220,1
1.049000,779.797607,-961.788391,1196.640259,-21.606806,-4.490964,-20.218161,1
1.062000,775.601990,-962.287842,1196.444336,-21.649801,-4.395813,-20.326044,1
1.074000,772.659973,-963.136047,1196.661743,-21.692272,-4.351706,-20.426271,1
1.087000,769.115540,-964.226257,1196.833008,-21.761488,-4.273914,-20.501438,1
1.099000,766.958191,-963.834167,1196.397095,-21.753050,-4.224135,-20.573730,1
1.112000,765.273193,-963.907471,1196.307129,-21.756382,-4.200699,-20.646103,1
1.124000,763.321167,-964.408936,1196.400391,-21.776215,-4.182137,-20.735025,1
1.137000,760.926331,-964.925903,1196.428589,-21.799519,-4.152052,-20.837788,1
1.149000,759.666992,-964.435852,1195.989624,-21.758413,-4.163612,-20.969151,1
1.162000,760.199341,-965.778259,1196.844727,-21.756607,-4.288159,-21.125193,1
1.174000,761.044067,-966.395264,1197.135010,-21.734327,-4.394634,-21.251900,1
1.187000,764.841248,-965.360413,1196.878418,-21.606096,-4.581056,-21.368572,1
1.199000,766.250122,-965.007446,1196.472046,-21.565483,-4.649539,-21.418905,1
1.212000,774.675354,-964.348267,1197.003662,-21.427824,-4.957098,-21.400639,1
1.224000,778.174988,-962.347839,1195.765503,-21.336802,-5.011395,-21.307545,1
1.237000,786.886353,-959.236633,1194.715942,-21.155821,-5.208799,-21.117268,1
1.249000,797.237122,-955.220276,1193.401489,-20.939079,-5.425866,-20.859831,1
1.262000,803.816284,-950.237671,1190.739136,-20.764889,-5.444936,-20.529860,1
1.274000,813.706909,-944.823669,1188.413818,-20.516747,-5.597190,-20.207016,1
1.287000,818.996704,-939.331726,1185.098389,-20.316469,-5.580310,-19.905394,1
1.299000,823.493774,-934.968384,1182.290161,-20.143816,-5.581090,-19.658262,1
1.312000,823.427673,-929.975525,1178.125854,-19.976423,-5.427911,-19.481306,1
1.324000,820.889343,-924.859070,1173.303955,-19.789368,-5.229233,-19.414202,1
1.337000,818.870422,-925.287537,1171.663574,-19.781454,-5.164290,-19.395874,1
1.349000,807.351013,-927.248169,1168.687500,-19.917494,-4.787394,-19.468140,1
1.362000,794.094910,-931.111206,1166.535645,-20.098835,-4.428392,-19.659843,1
1.374000,781.102600,-936.808838,1165.533447,-20.295469,-4.176521,-19.980995,1
1.387000,763.153870,-940.650879,1162.725098,-20.455667,-3.750681,-20.401131,1
1.399000,743.577698,-943.623352,1159.354736,-20.586296,-3.286426,-20.887960,1
1.412000,718.413574,-943.070740,1153.476318,-20.661034,-2.564529,-21.399925,1
1.424000,693.438049,-939.881897,1146.584229,-20.625814,-1.836031,-21.955723,1
1.437000,667.875854,-934.227905,1138.708008,-20.520124,-1.047144,-22.501299,1
1.449000,642.938904,-926.723572,1130.389526,-20.342670,-0.264486,-23.060282,1
1.462000,615.775818,-915.716736,1120.609985,-20.080032,0.649347,-23.632656,1
1.474000,588.239136,-901.805603,1110.021851,-19.734680,1.615772,-24.210398,1
1.487000,560.727112,-882.436523,1097.584961,-19.199171,2.649058,-24.828262,1
1.499000,535.689636,-861.971863,1085.603027,-18.606073,3.603201,-25.452629,1
1.512000,510.994141,-837.714844,1072.805054,-17.895456,4.607380,-26.081247,1
1.524000,487.322601,-812.041016,1060.417358,-17.143871,5.594417,-26.727276,1
1.537000,463.471893,-785.324219,1048.636353,-16.390751,6.614043,-27.369825,1
1.549000,443.368774,-756.577942,1037.015625,-15.523304,7.533319,-28.042589,1
1.562000,421.906403,-726.890198,1026.202881,-14.685040,8.541283,-28.687433,1
1.574000,403.777405,-698.049561,1016.558289,-13.845313,9.437885,-29.312614,1
1.587000,386.798553,-668.624756,1007.636902,-12.992673,10.319858,-29.936708,1
1.599000,372.303528,-639.559021,999.566589,-12.134374,11.138132,-30.523184,1
1.612000,358.484283,-612.063660,992.729797,-11.343780,11.930325,-31.078522,1
1.624000,345.281708,-584.172852,986.566772,-10.554179,12.728657,-31.616276,1
1.637000,334.563965,-558.673218,981.442261,-9.819068,13.424531,-32.117672,1
1.649000,324.849915,-531.972168,976.544128,-9.044600,14.133444,-32.578152,1
1.662000,317.777496,-512.083130,973.104370,-8.454719,14.651078,-33.001541,1
1.674000,309.504791,-499.153442,971.311646,-8.126302,15.098312,-33.386108,1
1.687000,302.940491,-491.485474,970.249207,-7.936428,15.408758,-33.723263,1
1.699000,298.067474,-490.165100,969.913696,-7.917739,15.553163,-34.035629,1
1.712000,293.787445,-496.874512,970.810791,-8.147361,15.535459,-34.300087,1
1.724000,288.628601,-507.616577,972.399597,-8.529905,15.473042,-34.529942,1
1.737000,284.672302,-523.557983,974.816406,-9.056799,15.265048,-34.763996,1
1.749000,278.920532,-539.675842,977.641296,-9.632560,15.113645,-34.958790,1
1.762000,274.540924,-557.655090,980.805847,-10.241275,14.885494,-35.104568,1
1.774000,269.246887,-574.721191,984.202759,-10.849118,14.712127,-35.193615,1
1.787000,265.047180,-587.985413,986.891174,-11.320932,14.586141,-35.225460,1
1.799000,258.287659,-597.687683,989.419189,-11.747544,14.620768,-35.204781,1
1.812000,251.515869,-603.998474,991.413879,-12.075314,14.728444,-35.136173,1
1.824000,243.899582,-605.839355,992.739380,-12.286968,14.954305,-35.033337,1
1.837000,235.020432,-606.872009,994.223083,-12.507135,15.242522,-34.887245,1
1.849000,226.273178,-606.793152,995.554199,-12.691063,15.554803,-34.693733,1
1.862000,215.605484,-609.113342,997.903381,-12.997307,15.892624,-34.456913,1
1.874000,205.955292,-610.972534,1000.010071,-13.266135,16.215258,-34.175339,1
1.887000,195.842850,-615.194214,1002.761963,-13.622492,16.521006,-33.846252,1
1.899000,186.958588,-622.915527,1006.128784,-14.067068,16.725430,-33.502220,1
1.912000,178.882599,-629.601013,1009.081177,-14.464544,16.927824,-33.136230,1
1.924000,171.406815,-638.203003,1012.430115,-14.919191,17.075153,-32.769249,1
