,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
0,base,tool0_controller,0.200007005018,-0.500015925652,0.500142598323,0.696361656789,0.122771752231,0.122830759247,0.696362078513
1,base,tool0_controller,0.199987377793,-0.500028873472,0.500134712506,0.696368165772,0.122763720946,0.122794051505,0.69636345929
2,base,tool0_controller,0.199993023365,-0.500017568996,0.500124243314,0.69637236578,0.122779011245,0.122823847111,0.69635130872
3,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.870514443803,0.492142868617
4,base,tool0_controller,0.200000539051,-0.500007156119,0.500137882093,0.696368026081,0.122766855598,0.122839663347,0.696355001797
5,base,tool0_controller,0.200006554742,-0.500011786474,0.500107327518,0.696373102034,0.122783042793,0.122834450864,0.696347991199
6,base,tool0_controller,0.199994220963,-0.50003351549,0.500148249794,0.696355975161,0.122751574059,0.122798011016,0.696377092827
7,base,tool0_controller,0.200019302351,-0.500008651413,0.500147514789,0.696356967954,0.122773196781,0.122844493644,0.69636408991
8,base,tool0_controller,0.199994203781,-0.500025684813,0.500095459937,0.696383990829,0.122755554363,0.122840516452,0.696340878241
9,base,tool0_controller,0.199979604492,-0.500023257567,0.500130335743,0.696384542891,0.122732323197,0.122807332123,0.696350274246
10,base,tool0_controller,0.200002113895,-0.500015503215,0.500109755692,0.696396429678,0.122758826383,0.122852672891,0.696325716917
11,base,tool0_controller,0.199961832949,-0.50003161501,0.500120962243,0.696388378129,0.122729480086,0.122797045753,0.696348753915
12,base,tool0_controller,0.199990899001,-0.500016250987,0.500103071872,0.69638897214,0.122758959296,0.122820832013,0.696338768573
13,base,tool0_controller,0.199990890775,-0.500031825392,0.500155208143,0.696363118356,0.122770610018,0.122810626357,0.696364369251
14,base,tool0_controller,0.199964358018,-0.500024466338,0.500147845996,0.696371295484,0.122739443172,0.12277222013,0.696368458418
15,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.870509163633,0.492152208195
16,base,tool0_controller,0.199977247106,-0.500035201806,0.50011269542,0.696382995555,0.122780817532,0.122798332727,0.696344859841
17,base,tool0_controller,0.200006345035,-0.500013149383,0.500134377493,0.696355563828,0.122776456902,0.12283611047,0.696366398042
18,base,tool0_controller,0.200004176441,-0.500017384359,0.500120724204,0.696378748751,0.122765573128,0.122837714502,0.696344848648
19,base,tool0_controller,0.199995387605,-0.500027270912,0.50013432783,0.696365694074,0.122742736172,0.122835078101,0.696362394463
20,base,tool0_controller,0.199983746756,-0.500020253818,0.500125522406,0.696345698965,0.122770570778,0.122825361103,0.696379196382
21,base,tool0_controller,0.199986956293,-0.500039246417,0.500143057646,0.696363171118,0.122763088631,0.122828133004,0.696362554797
22,base,tool0_controller,0.199989329705,-0.500010110083,0.500152196756,0.696344837441,0.122756323924,0.122820848458,0.696383365317
23,base,tool0_controller,0.199999825158,-0.500016394912,0.50007289082,0.696403072064,0.122746597323,0.122839300492,0.696323588801
24,base,tool0_controller,0.199996587428,-0.500019157782,0.500125417685,0.696374920023,0.122751686721,0.122820942062,0.696354084041
25,base,tool0_controller,0.199969564798,-0.500013564473,0.500095659389,0.69639319767,0.122742805024,0.122822605936,0.696337077517
26,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.870525707831,0.492122943993
27,base,tool0_controller,0.199986802098,-0.50002917584,0.500103027871,0.696372744381,0.122747342174,0.122829573055,0.696355503214
