,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,86.899879,-420.721802,2300.389893,39.441730,30.321081,42.140301,1
0.012000,86.901993,-420.723206,2300.393555,39.432697,30.309935,42.140041,1
0.025000,86.902855,-420.723846,2300.405273,39.412960,30.350803,42.131626,1
0.037000,86.902008,-420.724060,2300.401855,39.426556,30.333303,42.133492,1
0.049000,86.899155,-420.716095,2300.377930,39.430737,30.308086,42.141079,1
0.062000,86.899155,-420.720001,2300.372803,39.437969,30.320484,42.140232,1
0.075000,86.898773,-420.718689,2300.361816,39.455956,30.346937,42.149429,1
0.087000,86.904655,-420.714996,2300.335449,39.412113,30.307709,42.136337,1
0.099000,86.902122,-420.717346,2300.340820,39.414867,30.271942,42.128811,1
0.112000,86.902351,-420.718323,2300.345703,39.422546,30.230066,42.143143,1
0.125000,86.902206,-420.714050,2300.340332,39.380547,30.326511,42.124958,1
0.137000,86.902489,-420.716400,2300.337402,39.399059,30.292049,42.130798,1
0.149000,86.905670,-420.716278,2300.324463,39.409378,30.279261,42.129566,1
0.162000,86.910286,-420.721649,2300.349609,39.401947,30.234591,42.133183,1
0.175000,86.906250,-420.714539,2300.336914,39.351280,30.286514,42.106377,1
0.187000,86.910355,-420.717499,2300.349854,39.373184,30.271114,42.117847,1
0.200000,86.910820,-420.714111,2300.327881,39.392403,30.273773,42.125515,1
0.212000,86.909882,-420.715912,2300.335449,39.421028,30.252636,42.137417,1
0.225000,86.908272,-420.718750,2300.330566,39.404617,30.251602,42.131500,1
0.237000,86.906776,-420.715454,2300.326904,39.380459,30.274845,42.118519,1
0.250000,86.905769,-420.715393,2300.336670,39.386578,30.232607,42.125977,1
0.262000,86.902321,-420.714691,2300.337646,39.405678,30.232992,42.137665,1
0.275000,86.904816,-420.709351,2300.315430,39.400185,30.286558,42.130535,1
0.287000,86.904701,-420.716187,2300.329346,39.394184,30.238310,42.130909,1
0.300000,86.902489,-420.720154,2300.352539,39.407391,30.267908,42.132786,1
0.312000,86.903839,-420.720367,2300.340576,39.416298,30.277248,42.134090,1
0.325000,86.907478,-420.715668,2300.325439,39.423790,30.220545,42.143642,1
0.337000,86.909302,-420.716827,2300.334229,39.404091,30.254101,42.126842,1
0.350000,86.910721,-420.714447,2300.345703,39.407173,30.253819,42.134483,1
0.362000,86.910011,-420.711975,2300.322998,39.410698,30.274302,42.137306,1
0.375000,86.907990,-420.719147,2300.347168,39.378571,30.263916,42.117493,1
0.387000,86.903412,-420.721375,2300.356201,39.435154,30.308374,42.147530,1
0.400000,86.906708,-420.712494,2300.339844,39.381493,30.307787,42.120136,1
0.412000,86.908722,-420.716125,2300.335693,39.394554,30.287542,42.126244,1
0.425000,86.906693,-420.718018,2300.345459,39.462387,30.255081,42.159401,1
0.437000,86.903458,-420.716736,2300.333984,39.371849,30.258097,42.116787,1
0.450000,86.903290,-420.721558,2300.343018,39.419220,30.307316,42.135067,1
0.462000,86.904602,-420.719513,2300.340332,39.410782,30.252438,42.137081,1
0.475000,86.906906,-420.717529,2300.344971,39.385292,30.266373,42.118172,1
0.487000,86.904259,-420.712891,2300.326904,39.371895,30.270784,42.118671,1
0.500000,86.905029,-420.719147,2300.340332,39.378342,30.252108,42.117207,1
0.512000,86.906281,-420.716339,2300.339844,39.424664,30.268854,42.141472,1
0.525000,86.906487,-420.719147,2300.336670,39.414131,30.266144,42.137218,1
0.537000,86.908081,-420.720001,2300.352295,39.361191,30.251408,42.117233,1
0.550000,86.906906,-420.714050,2300.335205,39.391994,30.274261,42.123356,1
0.562000,86.908554,-420.715393,2300.331299,39.373604,30.218649,42.123310,1
0.575000,86.908943,-420.721130,2300.364990,39.421799,30.264141,42.137611,1
0.587000,86.904770,-420.719727,2300.339600,39.431530,30.233307,42.143890,1
0.600000,86.906540,-420.720886,2300.350830,39.374397,30.269695,42.120296,1
0.612000,86.911789,-420.716553,2300.340820,39.375504,30.278030,42.117546,1
0.625000,86.909615,-420.715759,2300.352539,39.377174,30.254896,42.116817,1
0.637000,86.906906,-420.717499,2300.348389,39.427738,30.261431,42.142334,1
0.650000,86.901993,-420.718231,2300.334961,39.406448,30.323404,42.129532,1
0.662000,86.905556,-420.717072,2300.356689,39.413715,30.297501,42.132446,1
0.675000,86.906593,-420.716705,2300.330566,39.367161,30.264305,42.111553,1
0.687000,86.909035,-420.712463,2300.318848,39.433105,30.246895,42.156322,1
0.700000,86.905937,-420.719818,2300.339355,39.405853,30.273315,42.139324,1
0.712000,86.904686,-420.712982,2300.330566,39.387058,30.281750,42.125755,1
0.725000,86.905060,-420.715332,2300.334717,39.389389,30.270477,42.123440,1
0.737000,86.905891,-420.714966,2300.332520,39.400967,30.296240,42.128567,1
0.750000,86.906425,-420.717468,2300.330566,39.390522,30.290104,42.129734,1
0.762000,86.904839,-420.718445,2300.350342,39.397831,30.332788,42.124439,1
0.775000,86.909737,-420.719666,2300.343506,39.439369,30.259117,42.146297,1
0.787000,86.907661,-420.714661,2300.339111,39.428181,30.252209,42.143070,1
0.800000,86.907997,-420.720642,2300.352539,39.421211,30.300158,42.138996,1
0.812000,86.906769,-420.720245,2300.335938,39.386879,30.326040,42.122974,1
0.825000,86.906975,-420.713654,2300.333984,39.458546,30.287218,42.154163,1
0.837000,86.909752,-420.718689,2300.347656,39.435822,30.273762,42.149734,1
0.850000,86.906898,-420.717072,2300.342529,39.425995,30.314436,42.141045,1
0.862000,86.905334,-420.715485,2300.334961,39.422440,30.265013,42.142086,1
0.875000,86.904732,-420.715546,2300.334717,39.433464,30.345646,42.141491,1
0.887000,86.904182,-420.720428,2300.341064,39.357285,30.207905,42.114014,1
0.900000,86.905037,-420.720184,2300.339844,39.402126,30.271399,42.125084,1
0.912000,86.905510,-420.719971,2300.339844,39.415428,30.283239,42.132996,1
0.925000,86.906815,-420.717102,2300.339600,39.437019,30.239752,42.150471,1
0.937000,86.902229,-420.716064,2300.351318,39.420895,30.268362,42.147266,1
0.950000,86.907310,-420.719086,2300.348633,39.419838,30.250038,42.149441,1
0.962000,86.909752,-420.718842,2300.329102,39.353195,30.278955,42.115028,1
0.975000,86.908676,-420.719116,2300.343018,39.407726,30.231152,42.134117,1
0.987000,86.905106,-420.720276,2300.344238,39.379620,30.259716,42.118050,1
1.000000,86.908867,-420.712555,2300.323975,39.440506,30.240686,42.152866,1
1.012000,86.911095,-420.714294,2300.338379,39.383358,30.267769,42.123096,1
1.025000,86.906845,-420.718903,2300.342285,39.404083,30.241722,42.129597,1
1.037000,86.910675,-420.720947,2300.340332,39.399845,30.289877,42.139462,1
1.050000,86.910652,-420.720093,2300.348877,39.407539,30.262278,42.129620,1
1.062000,86.908966,-420.718994,2300.341553,39.365326,30.229130,42.112209,1
1.075000,86.906265,-420.716187,2300.340088,39.435825,30.252630,42.147812,1
1.087000,86.905594,-420.713043,2300.339355,39.391197,30.289129,42.130199,1
1.100000,86.905548,-420.722687,2300.347900,39.389168,30.250282,42.131741,1
1.112000,86.902817,-420.725311,2300.353760,39.384037,30.275805,42.122967,1
1.125000,86.906799,-420.718353,2300.344971,39.415707,30.258951,42.137672,1
1.137000,86.902992,-420.719910,2300.341553,39.406414,30.283550,42.136841,1
1.150000,86.907257,-420.720337,2300.346191,39.413052,30.279028,42.139782,1
1.162000,86.905823,-420.716034,2300.344482,39.438828,30.274954,42.147945,1
1.175000,86.908844,-420.720856,2300.333008,39.367268,30.243088,42.116341,1
1.187000,86.908661,-420.721252,2300.321777,39.359722,30.266893,42.114353,1
1.200000,86.911057,-420.717651,2300.339844,39.421417,30.276268,42.140553,1
1.212000,86.908119,-420.720062,2300.335693,39.435966,30.228840,42.149803,1
1.225000,86.908073,-420.715515,2300.346436,39.395714,30.273680,42.123035,1
1.237000,86.910461,-420.719910,2300.333496,39.439369,30.243408,42.148861,1
1.250000,86.911079,-420.719940,2300.333496,39.400181,30.292408,42.126823,1
1.262000,86.907784,-420.720917,2300.336914,39.437893,30.318411,42.144306,1
1.275000,86.906372,-420.717651,2300.323975,39.412788,30.220961,42.139732,1
