,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,-37.148788,-655.991882,2781.492920,55.914555,-1.198398,52.161438,1
0.025000,-37.149792,-655.985168,2781.486572,55.904278,-1.130549,52.163971,1
0.037000,0,0,0,0,0,0,0
0.049000,-37.155628,-656.049377,2781.621338,56.293644,-0.663759,52.352238,1
0.062000,-37.152794,-656.046143,2781.619873,56.236774,-0.721584,52.333591,1
0.075000,-37.153336,-656.050964,2781.628906,56.281887,-0.669306,52.350468,1
0.087000,-37.159962,-656.044434,2781.611084,56.282696,-0.730548,52.337032,1
0.099000,-37.166088,-656.050964,2781.629150,56.246719,-0.642655,52.350948,1
0.112000,-37.165604,-656.047791,2781.629395,56.233284,-0.756600,52.332867,1
0.125000,-37.165874,-656.042725,2781.595947,56.228333,-0.690204,52.346371,1
0.137000,-37.163567,-656.052979,2781.646729,56.224190,-0.598480,52.352501,1
0.150000,-37.162910,-656.049805,2781.611328,56.235756,-0.646453,52.338943,1
0.162000,-37.159618,-656.045471,2781.623779,56.238529,-0.674068,52.345570,1
0.175000,-37.163193,-656.052002,2781.648193,56.234844,-0.724872,52.337685,1
0.187000,-37.155083,-656.043457,2781.615234,56.254345,-0.702502,52.347095,1
0.200000,-37.153652,-656.049622,2781.615967,56.210011,-0.754513,52.326099,1
0.212000,-37.153183,-656.050537,2781.622314,56.259903,-0.616870,52.355465,1
0.225000,-37.150856,-656.051819,2781.644531,56.224373,-0.701488,52.338650,1
0.237000,-37.158516,-656.051575,2781.649902,56.217129,-0.702755,52.339687,1
0.250000,-37.153324,-656.047729,2781.625488,56.258095,-0.694634,52.353550,1
0.262000,-37.154156,-656.050293,2781.639648,56.254414,-0.705078,52.340477,1
0.275000,-37.159939,-656.051086,2781.644043,56.185822,-0.680711,52.333218,1
0.287000,-37.159763,-656.045532,2781.636475,56.217850,-0.733547,52.331093,1
0.300000,-37.165230,-656.052307,2781.639648,56.234756,-0.627422,52.357143,1
0.312000,-37.166103,-656.052124,2781.638428,56.326118,-0.699982,52.355019,1
0.325000,-37.166389,-656.051025,2781.640381,56.213959,-0.708251,52.344006,1
0.337000,-37.164524,-656.051453,2781.652588,56.251057,-0.622864,52.356960,1
0.350000,-37.165668,-656.047913,2781.630371,56.243015,-0.776477,52.325275,1
0.362000,-37.161018,-656.054565,2781.645508,56.181927,-0.751183,52.329353,1
0.375000,-37.157269,-656.054077,2781.648438,56.275974,-0.618239,52.363525,1
0.387000,-37.158321,-656.053162,2781.642334,56.229206,-0.703926,52.336323,1
0.400000,-37.153717,-656.049194,2781.629883,56.227875,-0.722139,52.331310,1
0.412000,-37.157009,-656.040649,2781.613525,56.243652,-0.716634,52.340534,1
0.425000,-37.151756,-656.051208,2781.641846,56.281811,-0.610479,52.361721,1
0.437000,-37.154293,-656.048828,2781.640869,56.334419,-0.635341,52.369358,1
0.450000,-37.151226,-656.051270,2781.639160,56.176735,-0.820586,52.311878,1
0.462000,-37.154118,-656.051331,2781.643311,56.255844,-0.610952,52.353622,1
0.475000,-37.157513,-656.042664,2781.635742,56.298553,-0.622207,52.364799,1
0.487000,-37.160412,-656.046082,2781.623535,56.219654,-0.713745,52.342018,1
0.500000,-37.160255,-656.043335,2781.627441,56.282791,-0.611305,52.365776,1
0.512000,-37.161251,-656.042358,2781.601074,56.243729,-0.733505,52.335579,1
0.525000,-37.163406,-656.050598,2781.643066,56.184731,-0.602640,52.357655,1
0.537000,-37.161839,-656.046875,2781.633545,56.270191,-0.675202,52.355766,1
0.550000,-37.166821,-656.048218,2781.646484,56.275219,-0.738467,52.339546,1
0.562000,-37.156006,-656.044678,2781.628418,56.269321,-0.685682,52.345631,1
0.575000,-37.163223,-656.045837,2781.625977,56.368256,-0.753408,52.352161,1
0.587000,-37.162636,-656.048462,2781.646240,56.230831,-0.627918,52.353741,1
0.600000,-37.155758,-656.050842,2781.633789,56.226280,-0.739472,52.331478,1
0.612000,-37.160969,-656.047668,2781.612061,56.216637,-0.682697,52.341236,1
0.625000,-37.152374,-656.042419,2781.618896,56.223457,-0.719837,52.338558,1
0.637000,-37.157959,-656.048950,2781.643799,56.317425,-0.601197,52.367393,1
0.650000,-37.157875,-656.048767,2781.629639,56.242645,-0.682982,52.345509,1
0.662000,-37.159130,-656.047424,2781.621582,56.268925,-0.818327,52.326183,1
0.675000,-37.156902,-656.044434,2781.617188,56.231403,-0.682434,52.338978,1
0.687000,-37.161777,-656.053467,2781.645020,56.256271,-0.652081,52.348675,1
0.700000,-37.160980,-656.055542,2781.658447,56.214870,-0.720129,52.337009,1
0.712000,-37.166317,-656.053406,2781.642090,56.217564,-0.610129,52.356956,1
0.725000,-37.163944,-656.058044,2781.659668,56.283695,-0.711439,52.342083,1
0.737000,-37.163895,-656.043457,2781.615234,56.270336,-0.768511,52.335255,1
0.750000,-37.166824,-656.043335,2781.618164,56.276855,-0.641451,52.358791,1
0.762000,-37.164280,-656.042542,2781.626221,56.261181,-0.681252,52.346279,1
0.775000,-37.164009,-656.047974,2781.644043,56.315708,-0.645031,52.356327,1
0.787000,-37.158947,-656.049377,2781.639160,56.207916,-0.743113,52.335957,1
0.800000,-37.156254,-656.048096,2781.609131,56.243168,-0.726284,52.339001,1
0.812000,-37.155331,-656.045166,2781.625488,56.270050,-0.721526,52.343262,1
0.825000,-37.155022,-656.043213,2781.617432,56.236835,-0.643415,52.346252,1
0.837000,-37.156166,-656.051392,2781.646729,56.213779,-0.695932,52.334637,1
0.850000,-37.158318,-656.047546,2781.643799,56.322361,-0.666372,52.348572,1
0.862000,-37.154240,-656.050537,2781.630127,56.287155,-0.725882,52.342167,1
0.875000,-37.158081,-656.049927,2781.632812,56.203144,-0.769123,52.324444,1
0.887000,-37.158348,-656.042847,2781.626221,56.314922,-0.719144,52.353477,1
0.900000,-37.163147,-656.049805,2781.632080,56.214985,-0.634197,52.351536,1
0.912000,-37.165001,-656.044250,2781.614258,56.268173,-0.659666,52.351582,1
0.925000,-37.167145,-656.035034,2781.580078,56.277817,-0.625631,52.362381,1
0.937000,-37.164799,-656.046204,2781.625244,56.232544,-0.781459,52.325844,1
0.950000,-37.168156,-656.048218,2781.624023,56.293266,-0.689102,52.352665,1
0.962000,-37.164173,-656.052673,2781.641602,56.236252,-0.655375,52.339752,1
0.975000,-37.159523,-656.051575,2781.646973,56.224232,-0.708541,52.333187,1
0.987000,-37.160450,-656.049866,2781.631836,56.264519,-0.705963,52.345203,1
1.000000,-37.158443,-656.043823,2781.624023,56.249348,-0.715341,52.342121,1
1.012000,-37.159920,-656.052002,2781.637939,56.222675,-0.722258,52.337471,1
1.025000,-37.158340,-656.052795,2781.633301,56.261959,-0.637541,52.342018,1
1.037000,-37.156815,-656.049683,2781.634033,56.301495,-0.665996,52.349667,1
1.050000,-37.158966,-656.050964,2781.643799,56.217667,-0.657638,52.338638,1
1.062000,-37.157661,-656.052063,2781.636963,56.246365,-0.648719,52.349716,1
1.075000,-37.160442,-656.053162,2781.640625,56.251461,-0.760210,52.330135,1
1.087000,-37.162594,-656.045349,2781.613525,56.277271,-0.639549,52.356853,1
1.100000,-37.163750,-656.046692,2781.605713,56.223583,-0.633168,52.346638,1
1.112000,-37.161892,-656.048096,2781.631104,56.304119,-0.647137,52.354500,1
1.125000,-37.167782,-656.047729,2781.635742,56.268597,-0.623522,52.357296,1
1.137000,-37.165817,-656.045532,2781.624268,56.266983,-0.723798,52.343151,1
1.150000,-37.164356,-656.046448,2781.621094,56.283718,-0.693685,52.351940,1
1.162000,-37.159698,-656.049683,2781.616455,56.227592,-0.696393,52.343372,1
1.175000,-37.157845,-656.047607,2781.626953,56.221767,-0.620929,52.345058,1
1.187000,-37.158306,-656.049255,2781.633301,56.267227,-0.729003,52.331177,1
