,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
0,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.883048413838,0.469281896964
1,base,tool0_controller,-0.212086468023,-0.564377116204,0.33552358625,0.7292250110590001,-0.0052280639165600004,0.0496748623965,0.682448502555
2,base,tool0_controller,-0.21206813502,-0.564352596587,0.33547603074099996,0.7292523092190001,-0.005271927959319999,0.0497088460123,0.682416520098
3,base,tool0_controller,-0.212059541112,-0.564360455736,0.335435554775,0.7292568575980001,-0.005257927252979999,0.0497131448786,0.682411454384
4,base,tool0_controller,-0.212053854102,-0.564374326434,0.335513901788,0.72923182683,-0.00518708401157,0.0497161796442,0.6824385235160001
5,base,tool0_controller,-0.212069535588,-0.564364715371,0.33546422404,0.7292525228360001,-0.005239812367770001,0.0497446376609,0.6824139310770001
6,base,tool0_controller,-0.212073147982,-0.564358104392,0.335466187756,0.729246081876,-0.00524723181443,0.0497105373409,0.6824232419140001
7,base,tool0_controller,-0.212051721968,-0.564356144887,0.335432035615,0.7292729083570001,-0.00528044527644,0.0497043901353,0.682394765246
8,base,tool0_controller,-0.21208685721999998,-0.56437206185,0.33546533951900004,0.729238619797,-0.00523539237476,0.049684836284699996,0.6824331784909999
9,base,tool0_controller,-0.21205203645100001,-0.564380487394,0.335502247443,0.729236891135,-0.00522996331129,0.0496909598758,0.682434621483
10,base,tool0_controller,-0.21206219626699999,-0.564378141095,0.33549644284,0.729231403211,-0.005225092449760001,0.049691953029100004,0.6824404507240001
11,base,tool0_controller,-0.212093243444,-0.56437692396,0.335496392343,0.729249178391,-0.005247520687810001,0.0496887883622,0.682421514648
12,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.883046623663,0.46928526552199995
13,base,tool0_controller,-0.212042309409,-0.564355920467,0.33546953255399997,0.729248982077,-0.00522602738803,0.0497104417074,0.682420312391
14,base,tool0_controller,-0.21203438027399998,-0.564374486389,0.335459565923,0.729249770346,-0.00521572467265,0.0497246737832,0.6824185119730001
15,base,tool0_controller,-0.21207383277,-0.5643884180950001,0.33548877061500004,0.7292331629250001,-0.005217516213130001,0.04967970916040001,0.682439519747
16,base,tool0_controller,-0.21204402398299999,-0.564362681058,0.335476496739,0.729238561321,-0.00521444002413,0.049713999620000004,0.6824312775210001
17,base,tool0_controller,-0.21206629743799998,-0.564366849388,0.335482539618,0.7292313879260001,-0.00521662750049,0.049692078498599995,0.6824405226800001
18,base,tool0_controller,-0.212071792073,-0.56436786766,0.335472301183,0.7292368035719999,-0.005229437352569999,0.0496891428835,0.682434851382
19,base,tool0_controller,-0.21205257565299998,-0.56436018429,0.335450601536,0.7292547517229999,-0.00524255635965,0.049741122302699996,0.682411784368
20,base,tool0_controller,-0.212030897728,-0.564392080907,0.335482041224,0.729240619709,-0.0052042547822399995,0.049730457840400005,0.6824279565360001
21,base,tool0_controller,-0.21204882837000003,-0.56437534774,0.335521561941,0.729206543506,-0.00517800060988,0.0496934861569,0.682467261231
22,base,tool0_controller,-0.212065633367,-0.564362372945,0.335479431425,0.729240690494,-0.0052388917061,0.0497075650861,0.682429283747
23,base,tool0_controller,-0.21208066844999998,-0.5643569173049999,0.33548303241099997,0.729242848939,-0.005239808591149999,0.0496790028391,0.682429050051
24,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.8830612803419999,0.469257685245
25,base,tool0_controller,-0.21205455844700002,-0.564361984199,0.33548552005,0.7292422727310001,-0.00523918329102,0.049717211657800006,0.682426888015
26,base,tool0_controller,-0.212079186861,-0.564355280305,0.335485362743,0.729242288767,-0.00524190076087,0.04969230302659999,0.682428664236
27,base,tool0_controller,-0.212063916399,-0.5643721953999999,0.33547533389,0.7292335160860001,-0.00521317339752,0.0497012268775,0.682437608787
28,base,tool0_controller,-0.21208673944000003,-0.5643655116449999,0.335472498906,0.729238053275,-0.00526172161353,0.0496867029772,0.682433445465
29,base,tool0_controller,-0.212070027943,-0.564374109538,0.335437218587,0.7292572936280001,-0.005262146999100001,0.04972241028519999,0.682410280854
30,base,tool0_controller,-0.21206379168900003,-0.564351215707,0.335491142702,0.729235621335,-0.0052399800865600005,0.0496899317889,0.682435976384
31,base,tool0_controller,-0.212057637739,-0.564352763789,0.335467180176,0.729255794411,-0.005246897316499999,0.04970274120090001,0.682413433267
32,base,tool0_controller,-0.212071765754,-0.564374966129,0.335472258005,0.729239777472,-0.00522608862011,0.0496822364781,0.6824322020010001
33,base,tool0_controller,-0.21204279412500002,-0.5643622545310001,0.335462596894,0.7292401454449999,-0.0052328889983500005,0.0497170231575,0.682429223255
34,base,tool0_controller,-0.212045366186,-0.564361317719,0.33546793994699997,0.729245957086,-0.00520443991186,0.0497067577034,0.682423978269
