,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
0,base,tool0_controller,4.40058244098e-06,-0.600021027031,-0.0755528692987,0.920846662637,0.355369751754,0.107116446917,0.119498243707
1,base,tool0_controller,3.48330346166e-05,-0.600003046927,-0.0755543651322,0.920824751145,0.355428984879,0.1071206186,0.119487185324
2,base,tool0_controller,7.31986119687e-06,-0.599997107096,-0.0755767121455,0.920843191268,0.355381656148,0.107126366567,0.119480697837
3,base,tool0_controller,-3.51619199584e-06,-0.600030448389,-0.0755669906618,0.920848525354,0.355357831983,0.107120092848,0.119516067159
4,base,tool0_controller,-2.54946079698e-05,-0.600026961281,-0.075545255393,0.92084106398,0.355384869723,0.107101707472,0.119509637759
5,base,tool0_controller,4.76509920253e-05,-0.599998018916,-0.0755592493956,0.920827023605,0.355416014467,0.107138216489,0.119492476028
6,base,tool0_controller,2.11909626431e-05,-0.600043624846,-0.0755473922225,0.920835653452,0.355391069315,0.107117553007,0.119518689001
7,base,tool0_controller,2.09478150805e-05,-0.600007160265,-0.0755492437797,0.92083910366,0.355395179473,0.107098896248,0.119496602464
8,base,tool0_controller,-1.72808686551e-05,-0.600029422953,-0.0755539626628,0.920854358872,0.355352355195,0.107123842898,0.119484039464
9,base,tool0_controller,-1.70318612448e-06,-0.599997464071,-0.0755745066438,0.92084890722,0.355374179635,0.107125878004,0.119459318529
10,base,tool0_controller,-1.70267875594e-05,-0.60003239698,-0.0755482752845,0.920852581645,0.355352359502,0.107102544355,0.119516812489
12,base,tool0_controller,-2.12603158787e-05,-0.600046294531,-0.0755543830609,0.9208450483,0.355359993917,0.107120989981,0.119535623349
13,base,tool0_controller,3.15710750759e-05,-0.600023398685,-0.0755433725192,0.920837198446,0.355395144722,0.107105525698,0.119505445195
14,base,tool0_controller,5.01405034914e-05,-0.600012938778,-0.0755671857412,0.920816073249,0.355448549107,0.107122350672,0.119494310204
15,base,tool0_controller,2.30929459139e-05,-0.60002583402,-0.0755420629735,0.920837650454,0.355396015758,0.107116851659,0.119489219513
16,base,tool0_controller,1.83534049839e-05,-0.600025886741,-0.0755762748075,0.920834206299,0.355400606047,0.107124660532,0.119495108005
17,base,tool0_controller,-1.86362333948e-05,-0.599994658844,-0.0755801952855,0.920860278831,0.355346768982,0.107112435618,0.119465253449
18,base,tool0_controller,1.4803280455e-05,-0.599997457101,-0.0755844489224,0.920845829591,0.355370179052,0.107136531254,0.119485386709
19,base,tool0_controller,6.97358907885e-06,-0.60002217545,-0.0755601006175,0.920842521759,0.355373171283,0.107127467617,0.119510103903
20,base,tool0_controller,-1.33416051129e-05,-0.600066033064,-0.0755355339298,0.920839983163,0.355385943231,0.107075892356,0.119537902103
21,base,tool0_controller,-1.08603401219e-05,-0.600039792009,-0.0755601386621,0.920846190774,0.355371349703,0.107108995729,0.119503806553
23,base,tool0_controller,-1.71187626696e-05,-0.600029564467,-0.0755556777129,0.920844743038,0.355364029138,0.107123532059,0.119523700135
24,base,tool0_controller,-2.78438624367e-05,-0.60001041236,-0.0755689942261,0.920852579287,0.35536230912,0.107111144603,0.11947953456
25,base,tool0_controller,-3.16729336097e-05,-0.600018973281,-0.0755724123149,0.920856186449,0.355355741421,0.107105131895,0.119476657299
26,base,tool0_controller,4.50025112452e-06,-0.600035318168,-0.0755618442589,0.920833462055,0.355406503715,0.107096844525,0.119508234735
27,base,tool0_controller,-1.15495102587e-05,-0.600000948303,-0.0755542410427,0.920854868232,0.355347468449,0.107128736177,0.119490259872
28,base,tool0_controller,-1.70858907222e-05,-0.600043253849,-0.075527106785,0.920841470527,0.355367194593,0.10710767264,0.119553710218
29,base,tool0_controller,-2.10943312833e-05,-0.600016617222,-0.0755859464805,0.920851236068,0.355364337471,0.107118357523,0.119477387679
30,base,tool0_controller,-3.12171821649e-05,-0.600019693779,-0.0755775675904,0.920854108814,0.355362679574,0.107095300393,0.119480847332
31,base,tool0_controller,2.86668095472e-05,-0.600007348878,-0.0755707533206,0.920839997663,0.35538526929,0.107133496516,0.119488170958
32,base,tool0_controller,1.26344883486e-05,-0.600034339447,-0.0755673871641,0.920833351497,0.355411838016,0.107120555213,0.119471966671
33,base,tool0_controller,-3.08926925549e-05,-0.600041998993,-0.0755452950639,0.920853768236,0.355345359206,0.107104335833,0.119526877567
34,base,tool0_controller,5.36558233658e-05,-0.600038798554,-0.0755526414647,0.920827676837,0.355427492016,0.107087084263,0.119499137549
36,base,tool0_controller,2.86027088963e-05,-0.600036374545,-0.0755626645606,0.920831465932,0.3554086275,0.107115664307,0.119500432251
