,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.987000,135.202469,65.848846,2579.916016,-0.093138,0.020689,-0.000246,1
1.000000,135.201355,65.851196,2579.899902,-0.056376,-0.024611,-0.000285,1
1.012000,135.203171,65.849770,2579.912354,-0.081412,0.057035,0.002817,1
1.025000,135.203644,65.850075,2579.919189,-0.013311,-0.014038,0.004961,1
1.037000,135.203201,65.850487,2579.903809,-0.076423,0.001262,0.004405,1
1.050000,135.206009,65.845627,2579.923096,-0.061291,-0.093132,0.004294,1
1.062000,135.206604,65.850052,2579.931885,-0.036149,-0.002027,0.001834,1
1.075000,135.202042,65.851860,2579.912109,0.011814,0.036250,0.005114,1
1.087000,135.206696,65.853104,2579.918945,-0.027885,-0.042794,0.003660,1
1.100000,135.204514,65.849480,2579.926270,-0.060008,-0.109282,0.002203,1
1.112000,135.206512,65.854462,2579.921631,-0.018878,-0.016822,0.007595,1
1.125000,135.203400,65.846123,2579.921387,-0.069751,0.028337,0.002087,1
1.137000,135.204041,65.848587,2579.910889,-0.036522,0.012752,0.004812,1
1.150000,135.200760,65.851257,2579.918945,-0.110442,-0.029855,0.002595,1
1.162000,135.200241,65.850235,2579.909912,-0.038607,-0.002569,0.000078,1
1.175000,135.205185,65.852875,2579.916992,-0.024563,-0.017218,0.003308,1
1.187000,135.203918,65.849533,2579.928955,-0.086080,0.037541,0.005090,1
1.200000,135.201202,65.851639,2579.918945,-0.081987,-0.157459,-0.001983,1
1.212000,135.202774,65.849007,2579.910400,-0.026682,-0.076867,0.010514,1
1.225000,135.202454,65.851364,2579.900879,0.045477,0.000228,0.008862,1
1.237000,135.205917,65.852226,2579.927002,-0.095719,0.035912,-0.004161,1
1.250000,135.203171,65.852684,2579.916016,-0.088590,-0.003093,0.001899,1
1.262000,135.203781,65.851555,2579.926514,-0.036708,-0.031481,-0.003566,1
1.275000,135.204727,65.848701,2579.910400,-0.089787,0.025208,-0.000281,1
1.287000,135.203735,65.850334,2579.899902,0.033232,0.024469,0.000451,1
1.300000,135.206421,65.849998,2579.927246,-0.027770,-0.009012,0.007741,1
1.312000,135.205109,65.849319,2579.932373,-0.039259,0.026223,-0.000347,1
1.325000,135.206696,65.850929,2579.927490,-0.048143,0.053464,0.004831,1
1.337000,135.205231,65.850395,2579.922119,-0.030052,-0.042163,0.007542,1
1.350000,135.205582,65.850571,2579.941895,-0.068310,0.009212,0.003690,1
