,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,135.290100,-34.157825,2579.037598,-0.023887,0.055986,0.002926,1
0.012000,135.293289,-34.161240,2579.053711,-0.004096,0.064161,0.006816,1
0.025000,135.294052,-34.161160,2579.054199,0.008844,-0.019177,0.007412,1
0.037000,135.304886,-34.161072,2579.073730,-0.029473,-0.011963,0.009278,1
0.049000,135.313004,-34.160236,2579.068115,-0.020651,0.033716,0.005288,1
0.062000,135.316193,-34.161453,2579.049072,-0.050670,0.057719,0.000998,1
0.074000,135.320984,-34.161987,2579.079346,-0.013058,-0.000977,0.002345,1
0.087000,135.320892,-34.162125,2579.079590,0.009246,0.045669,-0.005221,1
0.099000,135.316956,-34.160339,2579.051758,-0.012744,0.057264,0.013384,1
0.112000,135.312851,-34.158039,2579.075195,-0.046132,0.080146,0.004363,1
0.124000,135.300720,-34.156101,2579.057617,-0.020097,0.058141,0.004944,1
0.137000,135.294846,-34.159935,2579.049072,-0.071041,0.060255,0.002366,1
0.149000,135.284119,-34.162155,2579.040771,-0.064718,-0.021331,0.000505,1
0.162000,135.284210,-34.160202,2579.039307,-0.065168,0.041362,-0.007372,1
0.174000,135.284912,-34.159649,2579.063477,-0.034379,0.042910,0.002243,1
0.187000,135.292465,-34.155720,2579.045654,-0.060554,0.015440,0.004078,1
0.199000,135.295486,-34.158909,2579.052490,-0.022826,0.106845,-0.000131,1
0.212000,135.302429,-34.162079,2579.076172,-0.063687,0.045983,0.002533,1
0.224000,135.309143,-34.160275,2579.062256,-0.087057,0.028362,-0.001223,1
0.237000,135.316025,-34.161621,2579.089355,-0.061250,0.032029,0.000461,1
0.249000,135.320160,-34.161621,2579.069824,-0.015448,0.027564,0.002383,1
0.262000,135.317902,-34.160732,2579.062988,-0.058279,0.075818,0.000243,1
0.274000,135.317841,-34.160873,2579.062500,-0.033073,0.011575,0.000853,1
0.287000,135.314285,-34.155823,2579.067627,-0.023000,0.022025,0.003518,1
0.299000,135.308487,-34.160515,2579.056152,0.009295,-0.007878,0.005873,1
0.312000,135.299149,-34.157578,2579.064697,-0.051361,0.015092,0.002192,1
0.324000,135.293091,-34.159298,2579.056641,-0.034679,0.014312,-0.000623,1
0.337000,135.289673,-34.160599,2579.056885,-0.052664,0.008436,0.001136,1
0.349000,135.286102,-34.159126,2579.049072,-0.043862,0.031043,-0.001826,1
0.362000,135.290726,-34.158497,2579.053223,-0.049535,0.053148,-0.001756,1
0.374000,135.290695,-34.159256,2579.049316,-0.009892,0.026534,0.004120,1
0.387000,135.294525,-34.162399,2579.060303,-0.014147,0.053789,0.004775,1
0.399000,135.302628,-34.157108,2579.071289,-0.034105,0.034215,0.004868,1
0.412000,135.306763,-34.159264,2579.056885,-0.053772,-0.032921,-0.009707,1
0.424000,135.309280,-34.160778,2579.070312,0.004984,0.010941,0.002478,1
0.437000,135.311722,-34.159454,2579.056885,-0.008005,0.034753,0.003985,1
0.449000,135.312561,-34.160622,2579.064941,0.008285,0.079709,0.004042,1
0.462000,135.311935,-34.161095,2579.082764,-0.049367,0.032513,-0.003538,1
0.474000,135.309769,-34.157913,2579.064697,-0.058230,0.049398,0.005828,1
0.487000,135.306427,-34.158146,2579.058105,-0.035267,0.031581,-0.001087,1
0.499000,135.298492,-34.158939,2579.093506,-0.056145,0.105034,0.001943,1
0.512000,135.300949,-34.159756,2579.064697,-0.052426,0.027720,0.001029,1
0.524000,135.299347,-34.163948,2579.064941,-0.075071,0.054731,0.001504,1
0.537000,135.299850,-34.156578,2579.094727,-0.028602,0.019457,0.001425,1
0.549000,135.298615,-34.158966,2579.050049,-0.096564,-0.042779,-0.002238,1
0.562000,135.296158,-34.159081,2579.059082,-0.080784,-0.015039,-0.006501,1
0.574000,135.298416,-34.161560,2579.056152,0.010702,0.034102,-0.000159,1
0.587000,135.298752,-34.161186,2579.069824,-0.048238,0.018368,0.001721,1
0.599000,135.302444,-34.158859,2579.050293,-0.054849,0.087056,-0.005049,1
0.612000,135.302200,-34.161484,2579.055176,-0.040340,0.036997,0.000634,1
0.624000,135.302734,-34.160007,2579.057617,-0.063163,0.058868,-0.001940,1
0.637000,135.304199,-34.159615,2579.076904,-0.030434,0.056782,0.002520,1
0.649000,135.303619,-34.158997,2579.050781,-0.062435,0.017890,0.007251,1
0.662000,135.307022,-34.159557,2579.074951,-0.019498,0.055960,0.012556,1
0.675000,135.303711,-34.157909,2579.050049,-0.052110,0.048919,0.001198,1
0.687000,135.305573,-34.160210,2579.066162,-0.075533,-0.015519,-0.000802,1
0.700000,135.303848,-34.163250,2579.064453,-0.061190,0.036060,0.000981,1
0.712000,135.303604,-34.158447,2579.071533,-0.032338,0.045454,0.001641,1
0.725000,135.304001,-34.160900,2579.056152,-0.082942,0.031723,0.002860,1
0.737000,135.302109,-34.155045,2579.062988,-0.084547,0.048313,-0.000837,1
0.750000,135.305359,-34.158199,2579.071533,-0.082578,0.058992,-0.000037,1
0.762000,135.300262,-34.160633,2579.055908,-0.093631,0.051725,0.010899,1
0.775000,135.295059,-34.157093,2579.044678,-0.093306,0.021846,-0.008652,1
0.787000,135.296097,-34.157398,2579.034424,-0.010108,0.052881,0.004915,1
0.800000,135.298676,-34.158268,2579.083984,-0.138278,-0.021046,-0.003047,1
