,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,-29.691420,-34.745129,2559.358154,-0.151315,-0.065254,-0.020639,1
0.012000,-29.695854,-34.740616,2559.338379,-0.138619,-0.193878,-0.021526,1
0.024000,-29.699194,-34.740738,2559.362793,-0.150462,-0.150664,-0.025106,1
0.037000,-29.698910,-34.740097,2559.358887,-0.063239,-0.128743,-0.015336,1
0.049000,-29.702314,-34.741039,2559.365967,-0.099121,-0.180126,-0.025686,1
0.062000,-29.698479,-34.745590,2559.342529,-0.061791,-0.110347,-0.014791,1
0.074000,-29.703051,-34.742275,2559.337891,-0.147301,-0.178213,-0.027197,1
0.087000,-29.700462,-34.744377,2559.354492,-0.143280,-0.167742,-0.022474,1
0.099000,-29.699081,-34.741714,2559.356445,-0.165952,-0.145388,-0.024377,1
0.112000,-29.700291,-34.741093,2559.375244,-0.059322,-0.106916,-0.016182,1
0.124000,-29.696177,-34.741112,2559.351074,-0.084237,-0.187256,-0.019688,1
0.137000,-29.694654,-34.747238,2559.352539,-0.127722,-0.068625,-0.019379,1
0.149000,-29.692600,-34.744495,2559.353516,-0.131090,-0.158928,-0.020233,1
0.162000,-29.690849,-34.743599,2559.367920,-0.133990,-0.141265,-0.021962,1
0.174000,-29.687599,-34.740841,2559.365723,-0.139056,-0.094517,-0.025084,1
0.187000,-29.693396,-34.738544,2559.341064,-0.146692,-0.101251,-0.022187,1
0.199000,-29.691017,-34.743107,2559.368408,-0.132898,-0.140545,-0.021798,1
0.212000,-29.696838,-34.743343,2559.345215,-0.122733,-0.111105,-0.014708,1
0.224000,-29.696854,-34.745953,2559.347168,-0.072370,-0.069081,-0.005406,1
0.237000,-29.699141,-34.742451,2559.360107,-0.117154,-0.114359,-0.020686,1
0.249000,-29.698389,-34.741848,2559.350342,-0.069234,-0.128904,-0.015909,1
0.262000,-29.700340,-34.737179,2559.359863,-0.150084,-0.164944,-0.026929,1
0.274000,-29.700998,-34.741478,2559.341064,-0.110926,-0.140885,-0.012986,1
0.287000,-29.703173,-34.747395,2559.357910,-0.145065,-0.041589,-0.023574,1
0.299000,-29.699972,-34.744976,2559.344238,-0.109175,-0.167238,-0.011194,1
0.312000,-29.698566,-34.744720,2559.355225,-0.125467,-0.101759,-0.021042,1
0.324000,-29.701160,-34.741417,2559.360107,-0.100030,-0.040159,-0.016852,1
0.337000,-29.694443,-34.738670,2559.364502,-0.144728,-0.161226,-0.019234,1
0.349000,-29.697954,-34.740040,2559.369385,-0.151878,-0.108729,-0.024919,1
0.362000,-29.693560,-34.738899,2559.329346,-0.109451,-0.135847,-0.017469,1
0.374000,-29.694065,-34.745090,2559.342041,-0.055323,-0.128380,-0.012449,1
0.387000,-29.693312,-34.745708,2559.369385,-0.115298,-0.118363,-0.015630,1
0.399000,-29.694456,-34.742287,2559.343994,-0.117684,-0.176513,-0.026217,1
0.412000,-29.695105,-34.737930,2559.365479,-0.138253,-0.162819,-0.028641,1
0.424000,-29.695122,-34.740162,2559.368408,-0.096966,-0.101081,-0.019695,1
0.437000,-29.697687,-34.740311,2559.355469,-0.140316,-0.104649,-0.021929,1
0.449000,-29.699677,-34.742275,2559.359375,-0.131424,-0.118609,-0.018915,1
0.462000,-29.697599,-34.744114,2559.338867,-0.069421,-0.071516,-0.012623,1
0.474000,-29.699865,-34.741901,2559.363770,-0.144329,-0.144504,-0.025913,1
0.487000,-29.702625,-34.740139,2559.348145,-0.113927,-0.111007,-0.018090,1
0.499000,-29.697952,-34.740173,2559.358398,-0.134350,-0.170338,-0.025486,1
0.512000,-29.699978,-34.741489,2559.349121,-0.162843,-0.100896,-0.021737,1
0.524000,-29.697409,-34.743637,2559.344971,-0.128929,-0.128137,-0.019608,1
0.537000,-29.695459,-34.743813,2559.362549,-0.063435,-0.123285,-0.020118,1
0.549000,-29.693054,-34.745213,2559.357178,-0.120324,-0.163079,-0.016996,1
0.562000,-29.695730,-34.743927,2559.345703,-0.128350,-0.132270,-0.027245,1
0.574000,-29.694599,-34.739494,2559.352051,-0.090081,-0.084147,-0.024036,1
0.587000,-29.695129,-34.741364,2559.361084,-0.171119,-0.105760,-0.028755,1
0.599000,-29.694124,-34.744411,2559.349121,-0.114419,-0.137436,-0.020185,1
0.612000,-29.693632,-34.745140,2559.325928,-0.119516,-0.217481,-0.024928,1
0.624000,-29.695688,-34.746811,2559.337402,-0.123004,-0.120430,-0.029609,1
0.637000,-29.694321,-34.742958,2559.367920,-0.113317,-0.133354,-0.019138,1
0.649000,-29.696058,-34.738689,2559.362305,-0.099580,-0.103988,-0.030750,1
0.662000,-29.694662,-34.739693,2559.331299,-0.107866,-0.084596,-0.026774,1
0.674000,-29.696604,-34.744896,2559.349365,-0.105610,-0.135961,-0.015625,1
0.687000,-29.700638,-34.743347,2559.346924,-0.053006,-0.118344,-0.015300,1
0.699000,-29.701279,-34.741405,2559.342285,-0.115627,-0.137938,-0.023130,1
0.712000,-29.699337,-34.742805,2559.352783,-0.127219,-0.145713,-0.019248,1
0.724000,-29.697132,-34.738708,2559.341064,-0.171010,-0.163087,-0.023978,1
0.737000,-29.697142,-34.736256,2559.347168,-0.137877,-0.099492,-0.017128,1
0.749000,-29.699736,-34.742641,2559.347412,-0.116347,-0.124919,-0.014705,1
0.762000,-29.697571,-34.741776,2559.348877,-0.104697,-0.055607,-0.020568,1
0.774000,-29.695902,-34.743637,2559.369873,-0.061155,-0.157890,-0.020507,1
0.787000,-29.693659,-34.740036,2559.356689,-0.142983,-0.150150,-0.025484,1
0.799000,-29.691759,-34.740986,2559.335693,-0.156900,-0.119033,-0.017021,1
0.812000,-29.693146,-34.739552,2559.349854,-0.141789,-0.079195,-0.029027,1
0.824000,-29.692293,-34.738060,2559.340088,-0.142617,-0.134849,-0.031126,1
0.837000,-29.693644,-34.745293,2559.355957,-0.189837,-0.093439,-0.023104,1
0.849000,-29.690752,-34.744545,2559.340820,-0.081595,-0.132302,-0.021055,1
0.862000,-29.695513,-34.742363,2559.354492,-0.116493,-0.106327,-0.020483,1
0.874000,-29.695305,-34.740063,2559.347900,-0.175452,-0.148904,-0.022432,1
0.887000,-29.697483,-34.736900,2559.347656,-0.109715,-0.172451,-0.018374,1
