,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,-30.103363,65.280022,2560.162354,-0.105751,-0.051791,-0.017747,1
0.012000,-30.105232,65.279007,2560.168457,-0.138670,-0.055147,-0.018006,1
0.025000,-30.108419,65.280540,2560.156250,-0.075475,-0.118726,-0.003069,1
0.037000,-30.106089,65.285080,2560.173584,-0.049660,-0.041329,-0.011601,1
0.049000,-30.107798,65.279411,2560.166992,-0.084786,-0.026192,-0.010845,1
0.062000,-30.110102,65.281639,2560.172363,-0.036588,-0.030417,-0.017276,1
0.074000,-30.108727,65.281898,2560.174316,-0.041794,-0.026068,-0.007740,1
0.087000,-30.107355,65.281044,2560.174805,-0.137335,-0.031914,-0.011335,1
0.099000,-30.108419,65.278061,2560.168945,-0.174816,-0.017147,-0.022448,1
0.112000,-30.107914,65.280472,2560.156738,-0.104401,0.021056,-0.003218,1
0.124000,-30.104153,65.282005,2560.176025,-0.098340,-0.002204,-0.009126,1
0.137000,-30.105917,65.281281,2560.167236,-0.044769,-0.037279,-0.007017,1
0.149000,-30.104439,65.279976,2560.184570,-0.170278,-0.034393,-0.013218,1
0.162000,-30.101931,65.282211,2560.162598,-0.081990,-0.045230,-0.003789,1
0.174000,-30.108143,65.284760,2560.173584,-0.077837,-0.002243,-0.012751,1
0.187000,-30.103270,65.284042,2560.176514,-0.058464,-0.056055,-0.007192,1
0.199000,-30.104025,65.282127,2560.171631,-0.073082,-0.055026,-0.006659,1
0.212000,-30.104176,65.287872,2560.171387,-0.044670,-0.013423,-0.007069,1
0.224000,-30.104113,65.282349,2560.159912,-0.064559,0.005648,-0.011673,1
0.237000,-30.107754,65.282570,2560.172363,-0.092931,-0.047324,-0.013827,1
0.249000,-30.106981,65.279739,2560.170410,-0.141324,-0.030979,-0.014197,1
0.262000,-30.110352,65.284393,2560.177246,-0.139442,-0.028355,-0.017871,1
0.274000,-30.111525,65.283691,2560.184570,-0.097775,-0.000112,-0.004047,1
0.287000,-30.110361,65.283325,2560.177979,-0.139356,-0.050266,-0.010954,1
0.299000,-30.107838,65.282028,2560.162598,-0.088230,-0.048480,-0.010127,1
0.312000,-30.109713,65.281273,2560.193848,-0.178948,-0.027614,-0.016800,1
0.324000,-30.109974,65.281609,2560.176514,-0.127113,-0.064527,-0.016900,1
0.337000,-30.106897,65.281906,2560.177734,-0.104409,0.020511,-0.005895,1
0.349000,-30.103491,65.286278,2560.183105,-0.060481,-0.040804,-0.005264,1
0.362000,-30.105806,65.283051,2560.172607,-0.075083,-0.007795,-0.011843,1
0.374000,-30.103289,65.282654,2560.172852,-0.124248,-0.067359,-0.009640,1
0.387000,-30.103891,65.284691,2560.186035,-0.080007,0.070031,-0.016155,1
0.399000,-30.105663,65.284576,2560.178467,-0.021486,-0.057825,-0.005789,1
