,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.025000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,-418.352448,15.323804,2374.717285,34.492722,6.914080,59.789791,1
0.062000,-418.349091,15.325423,2374.724121,34.459511,6.930768,59.784428,1
0.074000,-418.347015,15.323364,2374.728760,34.472042,6.907061,59.795433,1
0.087000,-418.347565,15.320826,2374.706787,34.470303,6.887565,59.790745,1
0.099000,-418.343689,15.319913,2374.724121,34.452309,6.926492,59.788342,1
0.112000,-418.345367,15.327644,2374.704834,34.475204,6.954233,59.782001,1
0.124000,-418.346191,15.322968,2374.730713,34.500404,6.922267,59.788643,1
0.137000,-418.348236,15.328122,2374.718018,34.445114,6.976633,59.774921,1
0.149000,-418.344025,15.325494,2374.714111,34.438015,6.847296,59.796059,1
0.162000,-418.350922,15.324937,2374.721436,34.472080,6.882985,59.792957,1
0.174000,-418.348755,15.322607,2374.704590,34.453590,6.887715,59.789795,1
0.187000,-418.348206,15.322629,2374.706299,34.431286,6.835675,59.794277,1
0.199000,-418.347565,15.325902,2374.709961,34.428345,6.916846,59.782761,1
0.212000,-418.346588,15.327275,2374.717529,34.440750,6.928717,59.784607,1
0.224000,-418.348450,15.324515,2374.723145,34.483223,6.908204,59.787010,1
0.237000,-418.347198,15.324253,2374.709961,34.532135,7.010182,59.776463,1
0.249000,-418.344727,15.324798,2374.719727,34.472878,6.997520,59.767525,1
0.262000,-418.349030,15.323214,2374.731934,34.488518,6.937998,59.788616,1
0.274000,-418.340881,15.324215,2374.705811,34.466698,6.904399,59.786716,1
0.287000,-418.338928,15.324765,2374.689697,34.487411,6.913452,59.790779,1
0.299000,-418.344086,15.323876,2374.724121,34.440777,6.960196,59.773506,1
0.312000,-418.346863,15.326193,2374.731201,34.472538,6.875588,59.798206,1
0.324000,-418.348969,15.325055,2374.715576,34.466331,6.911308,59.788792,1
0.337000,-418.353271,15.324206,2374.733643,34.469524,6.864709,59.799572,1
0.349000,-418.356384,15.323724,2374.733643,34.468838,6.938303,59.780376,1
0.362000,-418.349304,15.325743,2374.721680,34.441006,6.882702,59.788326,1
0.374000,-418.349121,15.328292,2374.701172,34.439350,6.925597,59.779018,1
0.387000,-418.348450,15.327044,2374.708984,34.469524,6.913149,59.793507,1
0.399000,-418.345367,15.327108,2374.701172,34.483124,6.884033,59.796497,1
0.412000,-418.349365,15.323238,2374.722656,34.486618,6.905556,59.793182,1
0.424000,-418.345551,15.323956,2374.706787,34.498806,6.965586,59.781361,1
0.437000,-418.340668,15.322506,2374.711182,34.479828,6.874493,59.802151,1
0.449000,-418.350616,15.324296,2374.735840,34.466969,6.859794,59.795486,1
0.462000,-418.345123,15.324988,2374.705078,34.485863,6.854882,59.801674,1
0.474000,-418.348175,15.326875,2374.718994,34.475937,6.932030,59.783459,1
0.487000,-418.351166,15.324030,2374.735840,34.465889,6.933551,59.781384,1
0.499000,-418.346619,15.324494,2374.723877,34.486526,6.873186,59.800411,1
0.512000,-418.347870,15.325097,2374.704346,34.420403,6.872847,59.786613,1
0.524000,-418.350739,15.326416,2374.717773,34.467369,6.949536,59.777763,1
0.537000,-418.350403,15.327440,2374.726807,34.472614,6.919886,59.783375,1
0.549000,-418.349609,15.328456,2374.716553,34.479252,6.945117,59.779491,1
0.562000,-418.347961,15.327793,2374.719971,34.428028,6.953609,59.774673,1
0.575000,-418.343414,15.321579,2374.706055,34.423626,6.897134,59.783150,1
0.587000,-418.350403,15.324670,2374.719971,34.512726,6.940288,59.790382,1
0.600000,-418.349121,15.324890,2374.728516,34.486183,6.905390,59.791798,1
0.612000,-418.345917,15.330016,2374.705078,34.449577,6.954609,59.781837,1
0.625000,-418.349121,15.323014,2374.714844,34.475559,6.927468,59.786724,1
0.637000,-418.350311,15.326247,2374.731689,34.456890,6.914461,59.786957,1
0.650000,-418.348480,15.325646,2374.716064,34.498299,6.907521,59.788361,1
0.662000,-418.351379,15.322084,2374.716064,34.506012,6.957663,59.782364,1
0.675000,-418.347534,15.324859,2374.716309,34.479736,6.956738,59.782993,1
0.687000,-418.350983,15.324940,2374.731934,34.460827,6.874758,59.792023,1
0.700000,-418.348694,15.330132,2374.719971,34.488068,6.907863,59.787529,1
0.712000,-418.344391,15.328196,2374.704102,34.533325,6.946019,59.788963,1
0.725000,-418.351959,15.322294,2374.733643,34.474453,6.900871,59.793568,1
0.737000,-418.348450,15.323352,2374.721680,34.458389,6.867475,59.791260,1
0.750000,-418.346008,15.322601,2374.727295,34.466381,6.902271,59.784168,1
0.762000,-418.350006,15.324131,2374.720215,34.454647,6.910883,59.788963,1
0.775000,-418.348846,15.327188,2374.719971,34.450974,6.913007,59.786430,1
0.787000,-418.353729,15.325059,2374.722168,34.492748,6.943941,59.777378,1
0.800000,-418.345367,15.325539,2374.702148,34.472290,6.956710,59.780308,1
0.812000,-418.351959,15.321899,2374.734619,34.474922,6.917224,59.792919,1
0.825000,-418.345093,15.322666,2374.703369,34.441570,6.959738,59.765602,1
0.837000,-418.351044,15.321164,2374.707275,34.440159,6.966038,59.774593,1
0.850000,-418.348114,15.323718,2374.721436,34.497993,6.914508,59.787521,1
0.862000,-418.347626,15.327294,2374.715820,34.519238,6.964488,59.781834,1
0.875000,-418.347839,15.327710,2374.715820,34.452633,6.884179,59.786182,1
0.887000,-418.346283,15.322783,2374.718994,34.518356,6.932066,59.787815,1
0.900000,-418.350800,15.325887,2374.717041,34.496693,6.974998,59.777782,1
0.912000,-418.347778,15.323380,2374.719971,34.461655,6.958194,59.779045,1
0.925000,-418.344757,15.324552,2374.714844,34.482273,6.960854,59.780739,1
0.937000,-418.343414,15.328146,2374.723145,34.416191,6.870596,59.782139,1
0.950000,-418.351074,15.323924,2374.719482,34.478905,6.928111,59.782951,1
0.962000,-418.345062,15.322886,2374.706299,34.458542,6.868535,59.794243,1
0.975000,-418.347015,15.325315,2374.721191,34.497993,6.936161,59.788361,1
0.987000,-418.351471,15.326190,2374.709717,34.471561,6.862930,59.799400,1
1.000000,-418.354034,15.325889,2374.727295,34.483738,6.933768,59.790474,1
1.012000,-418.351501,15.326170,2374.726318,34.513947,6.891340,59.801361,1
1.025000,-418.347290,15.326409,2374.713623,34.458973,6.910367,59.788456,1
1.037000,-418.350494,15.325720,2374.722168,34.457405,6.888402,59.788162,1
1.050000,-418.348328,15.328182,2374.717041,34.449120,6.916539,59.780037,1
1.062000,-418.346222,15.325579,2374.699219,34.458389,6.846611,59.794788,1
1.075000,-418.349579,15.322682,2374.742188,34.503838,6.891664,59.796116,1
1.087000,-418.341400,15.323669,2374.707031,34.403580,6.835339,59.792206,1
1.100000,-418.342957,15.324515,2374.700439,34.513973,6.936756,59.788101,1
1.112000,-418.345276,15.323874,2374.699463,34.498173,6.925009,59.791470,1
1.125000,-418.347168,15.326438,2374.712891,34.482540,6.926764,59.784359,1
1.137000,-418.348907,15.320196,2374.721680,34.440357,7.002576,59.770794,1
1.150000,-418.351166,15.324377,2374.725098,34.461739,6.858701,59.793640,1
1.162000,-418.353302,15.327250,2374.719971,34.481945,6.997520,59.780979,1
1.175000,-418.352722,15.323774,2374.727051,34.437683,6.860095,59.797352,1
1.187000,-418.349854,15.323341,2374.715576,34.468525,6.918883,59.786163,1
1.200000,-418.350616,15.324094,2374.715332,34.466969,6.961322,59.781647,1
1.212000,-418.352661,15.322358,2374.720215,34.465164,6.901574,59.790447,1
1.225000,-418.349670,15.323482,2374.726562,34.489075,6.851301,59.808697,1
1.237000,-418.345551,15.325553,2374.718750,34.452633,6.945746,59.783375,1
1.250000,-418.345032,15.327123,2374.705078,34.467766,6.899211,59.796436,1
1.262000,-418.345428,15.323827,2374.722412,34.485157,6.902330,59.790356,1
