,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.025000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,-26.976006,-281.011322,2882.938965,50.508858,5.204043,52.384041,1
0.062000,-26.976061,-281.007111,2882.948730,50.567158,5.207047,52.393414,1
0.074000,-26.977961,-281.008606,2882.944824,50.546669,5.166209,52.391277,1
0.087000,0,0,0,0,0,0,0
0.099000,-26.968781,-281.005798,2882.924316,50.574200,5.099847,52.394756,1
0.112000,-26.966068,-281.011719,2882.958496,50.478149,5.182521,52.382874,1
0.124000,-26.966221,-281.012268,2882.952148,50.509544,5.149552,52.381981,1
0.137000,-26.966204,-281.010315,2882.942383,50.552315,5.175061,52.383938,1
0.149000,-26.961786,-281.012299,2882.962891,50.553417,5.150271,52.394131,1
0.162000,-26.970058,-281.011749,2882.952637,50.560936,5.188303,52.386944,1
0.174000,-26.966063,-281.007446,2882.936523,50.492027,5.123659,52.385494,1
0.187000,-26.968573,-281.009369,2882.936523,50.557842,5.217865,52.396255,1
0.199000,-26.971277,-281.011780,2882.951904,50.544563,5.251418,52.384533,1
0.212000,-26.966019,-281.009735,2882.948730,50.448658,5.196591,52.379429,1
0.224000,-26.978861,-281.011353,2882.964600,50.542305,5.171731,52.395344,1
0.237000,-26.980343,-281.008667,2882.955322,50.515072,5.121878,52.380703,1
0.249000,-26.975132,-281.014923,2882.954590,50.485741,5.188403,52.373787,1
0.262000,-26.971869,-281.011566,2882.948975,50.541939,5.272766,52.391468,1
0.274000,-26.974295,-281.010010,2882.954834,50.552650,5.244141,52.394772,1
0.287000,-26.968636,-281.008392,2882.945068,50.512016,5.171354,52.388737,1
0.299000,-26.966000,-281.011047,2882.938965,50.561710,5.218926,52.391373,1
0.312000,-26.967901,-281.009247,2882.946045,50.531139,5.261724,52.393764,1
0.324000,-26.967937,-281.005005,2882.938477,50.551399,5.205402,52.392467,1
0.337000,-26.968697,-281.006714,2882.948975,50.506397,5.105063,52.380253,1
0.349000,-26.970707,-281.010590,2882.972412,50.605602,5.214372,52.396172,1
0.362000,0,0,0,0,0,0,0
0.374000,-26.968319,-281.010620,2882.958984,50.594952,5.276289,52.398037,1
0.387000,-26.968643,-281.008453,2882.935791,50.508842,5.138353,52.381893,1
0.399000,0,0,0,0,0,0,0
0.412000,0,0,0,0,0,0,0
0.425000,0,0,0,0,0,0,0
0.437000,0,0,0,0,0,0,0
0.450000,0,0,0,0,0,0,0
0.462000,-26.968971,-281.004852,2882.922607,50.558128,5.187468,52.389248,1
0.475000,-26.968884,-281.009521,2882.940430,50.594246,5.277629,52.404293,1
0.487000,-26.969988,-281.008667,2882.937256,50.550972,5.299582,52.397434,1
0.499000,-26.970409,-281.010925,2882.958984,50.594971,5.195196,52.395370,1
0.512000,-26.969612,-281.011749,2882.957520,50.501526,5.200826,52.382656,1
0.524000,-26.975817,-281.008942,2882.948486,50.652699,5.360722,52.415833,1
0.537000,-26.967766,-281.009460,2882.949707,50.525696,5.293578,52.385567,1
0.549000,-26.967518,-281.008698,2882.952881,50.522038,5.244067,52.386169,1
0.562000,-26.966969,-281.010620,2882.959717,50.520405,5.238284,52.387703,1
0.574000,-26.966940,-281.006561,2882.950684,50.503609,5.177030,52.380959,1
0.587000,-26.969524,-281.006744,2882.926270,50.540359,5.243412,52.389530,1
0.599000,-26.969925,-281.008820,2882.958252,50.570343,5.224045,52.391880,1
0.612000,0,0,0,0,0,0,0
0.624000,-26.967649,-281.004547,2882.940430,50.512997,5.163506,52.386444,1
0.637000,-26.967909,-281.010712,2882.945557,50.531319,5.321241,52.393032,1
0.649000,-26.969915,-281.004608,2882.940918,50.596752,5.259413,52.410889,1
0.662000,0,0,0,0,0,0,0
0.675000,0,0,0,0,0,0,0
0.687000,0,0,0,0,0,0,0
0.700000,0,0,0,0,0,0,0
0.712000,0,0,0,0,0,0,0
0.725000,-26.966200,-281.006073,2882.916016,50.479404,5.176117,52.382908,1
0.737000,-26.965126,-281.012146,2882.948242,50.536232,5.212159,52.395622,1
0.750000,-26.969091,-281.007141,2882.948975,50.525150,5.242921,52.387478,1
0.775000,0,0,0,0,0,0,0
0.787000,0,0,0,0,0,0,0
0.800000,0,0,0,0,0,0,0
0.812000,-26.967413,-281.005890,2882.937988,50.527184,5.214457,52.386829,1
0.825000,-26.974550,-281.011780,2882.948975,50.564308,5.205363,52.384945,1
0.837000,0,0,0,0,0,0,0
0.849000,-26.969833,-281.012665,2882.932373,50.480743,5.137622,52.371693,1
0.862000,-26.971100,-281.005920,2882.950684,50.536011,5.276594,52.394390,1
0.875000,-26.975988,-281.006042,2882.945557,50.531132,5.349761,52.399666,1
0.887000,-26.973761,-281.006989,2882.965576,50.543186,5.197638,52.392952,1
0.900000,-26.973227,-281.008667,2882.949951,50.583965,5.241169,52.394970,1
0.912000,0,0,0,0,0,0,0
0.925000,0,0,0,0,0,0,0
0.937000,-26.970520,-281.007202,2882.941406,50.507595,5.136712,52.386520,1
0.950000,-26.966698,-281.010315,2882.958984,50.461716,5.079738,52.373806,1
0.962000,0,0,0,0,0,0,0
0.975000,0,0,0,0,0,0,0
0.987000,0,0,0,0,0,0,0
1.000000,0,0,0,0,0,0,0
1.012000,-26.973576,-281.002136,2882.948486,50.569736,5.210061,52.395706,1
1.025000,-26.970257,-281.007080,2882.930908,50.534630,5.180867,52.386921,1
1.037000,0,0,0,0,0,0,0
1.050000,0,0,0,0,0,0,0
1.062000,-26.971870,-281.005981,2882.941406,50.568157,5.231521,52.394398,1
1.075000,0,0,0,0,0,0,0
1.087000,-26.967142,-281.007141,2882.938477,50.473289,5.192434,52.384159,1
1.100000,-26.971399,-281.010590,2882.954102,50.517521,5.094505,52.376675,1
1.112000,-26.970251,-281.006439,2882.930176,50.539177,5.149967,52.388256,1
1.125000,0,0,0,0,0,0,0
1.137000,0,0,0,0,0,0,0
1.150000,0,0,0,0,0,0,0
1.162000,0,0,0,0,0,0,0
1.175000,-26.965040,-281.007446,2882.943604,50.563881,5.225049,52.389973,1
1.187000,-26.969742,-281.007416,2882.987305,50.580845,5.297915,52.404713,1
1.200000,0,0,0,0,0,0,0
1.212000,-26.969456,-281.008270,2882.954834,50.514008,5.151560,52.378319,1
1.225000,-26.971834,-281.004425,2882.936279,50.569111,5.247307,52.397179,1
1.237000,-26.974634,-281.001923,2882.932617,50.501106,5.175190,52.375286,1
1.250000,-26.971004,-281.001923,2882.935791,50.555859,5.182731,52.395416,1
1.262000,-26.972197,-281.003784,2882.927979,50.526691,5.282851,52.396759,1
1.275000,-26.970972,-281.004517,2882.938721,50.574009,5.171382,52.390457,1
1.287000,-26.969753,-281.004456,2882.951904,50.557896,5.277623,52.399738,1
1.300000,-26.972443,-281.004211,2882.931152,50.513363,5.197126,52.384434,1
1.312000,0,0,0,0,0,0,0
1.325000,-26.968866,-281.004028,2882.938477,50.557907,5.200450,52.395477,1
1.337000,-26.963018,-281.000946,2882.948486,50.549194,5.174980,52.391266,1
1.350000,0,0,0,0,0,0,0
1.362000,0,0,0,0,0,0,0
1.375000,0,0,0,0,0,0,0
1.387000,0,0,0,0,0,0,0
1.400000,-26.968586,-281.001648,2882.928467,50.543533,5.168598,52.389885,1
1.412000,-26.970329,-281.004028,2882.966797,50.589756,5.204564,52.390503,1
1.425000,-26.968195,-281.009521,2882.933594,50.556564,5.203519,52.394547,1
1.437000,-26.968952,-281.002625,2882.931396,50.528599,5.252232,52.389942,1
1.450000,-26.970497,-281.004364,2882.964600,50.564430,5.249066,52.393429,1
1.462000,-26.969618,-281.004517,2882.927734,50.521191,5.223864,52.392200,1
1.475000,-26.970787,-281.004578,2882.964355,50.485794,5.100444,52.377026,1
