,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.025000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,-242.890793,22.381424,2794.390137,39.263481,8.917099,61.040752,1
0.062000,-242.890289,22.383432,2794.420166,39.275276,8.923635,61.043758,1
0.074000,-242.891022,22.380936,2794.407471,39.200386,8.786381,61.045807,1
0.087000,-242.890381,22.383715,2794.406250,39.198803,8.964640,61.027439,1
0.099000,-242.888458,22.381922,2794.393066,39.155922,8.777280,61.041531,1
0.112000,-242.888779,22.380575,2794.415527,39.157406,8.810820,61.031239,1
0.124000,-242.889847,22.384401,2794.390869,39.207100,8.926549,61.029305,1
0.137000,-242.887344,22.385151,2794.411377,39.184116,8.844185,61.027016,1
0.149000,-242.888840,22.385010,2794.428711,39.221184,8.819232,61.042999,1
0.162000,-242.895584,22.386360,2794.415527,39.229881,8.878750,61.042236,1
0.174000,-242.895264,22.380131,2794.447998,39.195812,8.965272,61.016354,1
0.187000,-242.895554,22.383688,2794.397705,39.190128,8.924314,61.020821,1
0.199000,-242.895599,22.384748,2794.422363,39.175240,8.804850,61.042957,1
0.212000,-242.896774,22.385899,2794.436768,39.266155,8.834192,61.046463,1
0.224000,-242.887772,22.382893,2794.416992,39.231728,8.851639,61.039986,1
0.237000,-242.892960,22.378790,2794.413330,39.168335,8.724745,61.045116,1
0.249000,-242.889450,22.381771,2794.400635,39.209660,8.888085,61.026588,1
0.262000,-242.889709,22.376764,2794.407715,39.247486,8.853392,61.038006,1
0.274000,-242.889664,22.383829,2794.415527,39.207706,8.820634,61.038551,1
0.287000,-242.888443,22.381222,2794.419434,39.233833,8.945369,61.031784,1
0.299000,-242.884003,22.383856,2794.390381,39.222401,8.928366,61.028061,1
0.312000,-242.888351,22.379656,2794.399658,39.163799,8.895993,61.026463,1
0.325000,-242.892487,22.382166,2794.434082,39.267960,8.864347,61.040035,1
0.337000,0,0,0,0,0,0,0
0.350000,-242.896896,22.380760,2794.439453,39.238098,8.852026,61.040985,1
0.362000,-242.889847,22.383619,2794.403564,39.200867,8.804901,61.042419,1
0.375000,-242.895630,22.380991,2794.419922,39.287083,8.928997,61.040348,1
0.387000,0,0,0,0,0,0,0
0.400000,0,0,0,0,0,0,0
0.412000,0,0,0,0,0,0,0
0.425000,0,0,0,0,0,0,0
0.437000,-242.892517,22.382029,2794.410645,39.238556,8.902388,61.035446,1
0.450000,-242.892456,22.378437,2794.402344,39.251465,8.957859,61.034538,1
0.462000,-242.887161,22.383898,2794.365967,39.215271,8.837739,61.045635,1
0.475000,-242.885834,22.384016,2794.404541,39.235161,8.856535,61.034859,1
0.487000,-242.888229,22.381968,2794.397461,39.288143,8.876559,61.039276,1
0.500000,-242.885925,22.380384,2794.420898,39.142681,8.852616,61.020164,1
0.512000,-242.887115,22.385515,2794.381104,39.178860,8.832357,61.033997,1
0.525000,-242.887070,22.378111,2794.387939,39.139549,8.838845,61.027851,1
0.537000,-242.886398,22.383774,2794.394043,39.221497,8.836884,61.036095,1
0.550000,-242.891739,22.382000,2794.393555,39.187283,8.811482,61.044182,1
0.562000,-242.891296,22.382526,2794.396240,39.256565,8.888431,61.042343,1
0.575000,-242.888611,22.385021,2794.402588,39.238506,8.778856,61.050907,1
0.587000,-242.893890,22.381798,2794.391357,39.158165,8.800577,61.037441,1
0.600000,-242.897675,22.382078,2794.423584,39.226490,8.888731,61.033211,1
0.612000,-242.891647,22.380608,2794.404297,39.224068,8.844629,61.041298,1
0.625000,-242.892868,22.382013,2794.401855,39.225349,8.932115,61.037979,1
0.637000,-242.892242,22.385624,2794.417969,39.247311,8.893573,61.032391,1
0.650000,-242.891708,22.378391,2794.387695,39.254452,8.850924,61.045452,1
0.662000,-242.888245,22.379345,2794.412109,39.211178,8.796453,61.044941,1
0.675000,-242.884308,22.383524,2794.389404,39.268566,8.872820,61.041237,1
0.687000,-242.890930,22.382046,2794.410645,39.195618,8.846814,61.034927,1
0.700000,-242.890915,22.382736,2794.430420,39.210865,8.838357,61.046066,1
0.712000,-242.890289,22.381987,2794.420166,39.243008,8.829912,61.041420,1
0.725000,-242.891174,22.380831,2794.414307,39.161991,8.877893,61.024216,1
0.737000,-242.895767,22.378851,2794.432373,39.263851,8.929557,61.032562,1
0.750000,-242.889038,22.382612,2794.411621,39.249565,8.882588,61.034126,1
0.762000,-242.892731,22.385723,2794.414307,39.177391,8.871184,61.027981,1
0.775000,-242.892349,22.383039,2794.430664,39.189644,8.814359,61.033409,1
0.787000,-242.894943,22.381491,2794.418701,39.263550,8.865626,61.040295,1
0.800000,-242.892334,22.382790,2794.405762,39.234455,8.802039,61.040310,1
0.812000,-242.893265,22.377991,2794.400391,39.275005,8.897196,61.045650,1
0.825000,-242.892014,22.382496,2794.416260,39.250843,8.885797,61.032051,1
0.837000,-242.890564,22.383009,2794.406738,39.244671,8.901601,61.036148,1
0.850000,-242.894836,22.387554,2794.411133,39.199585,8.810935,61.042248,1
0.862000,-242.889832,22.383247,2794.428711,39.188305,8.847839,61.029648,1
0.875000,-242.891800,22.381340,2794.418213,39.194664,8.839896,61.029530,1
0.887000,-242.893906,22.380032,2794.412842,39.166214,8.873724,61.026150,1
0.900000,-242.885574,22.381977,2794.403564,39.134003,8.833745,61.027073,1
0.912000,-242.890518,22.381012,2794.395996,39.211563,8.857046,61.047939,1
0.925000,-242.887512,22.383167,2794.386230,39.223579,8.807079,61.037201,1
0.937000,-242.887985,22.383940,2794.392334,39.171478,8.880875,61.023956,1
0.950000,-242.892853,22.385584,2794.414307,39.148972,8.781138,61.030575,1
0.962000,-242.892395,22.378880,2794.416504,39.187012,8.774406,61.042801,1
0.975000,-242.897186,22.386236,2794.408447,39.244095,8.884830,61.037933,1
0.987000,-242.893860,22.378592,2794.399414,39.184734,8.837506,61.035820,1
1.000000,-242.893829,22.382151,2794.395752,39.190536,8.829854,61.040932,1
1.012000,-242.893463,22.379667,2794.399902,39.216526,8.886637,61.032166,1
1.025000,-242.892899,22.385105,2794.416016,39.273087,8.814322,61.046265,1
1.037000,-242.894653,22.381908,2794.419678,39.198929,8.879567,61.030998,1
1.050000,-242.891006,22.385084,2794.408691,39.195942,8.855700,61.040535,1
1.062000,-242.890411,22.380083,2794.399414,39.124187,8.832517,61.027515,1
1.075000,-242.891861,22.381275,2794.417236,39.270870,8.930229,61.031578,1
1.087000,-242.889816,22.384943,2794.415283,39.256512,8.920427,61.032623,1
1.100000,-242.893158,22.385195,2794.431641,39.253235,8.886610,61.038063,1
1.112000,-242.893250,22.378796,2794.400391,39.218307,8.781601,61.049442,1
1.125000,-242.893005,22.380892,2794.433105,39.249893,8.824347,61.043705,1
1.137000,-242.889938,22.382240,2794.418945,39.149780,8.843788,61.025806,1
1.150000,-242.894287,22.381315,2794.407227,39.224049,8.849566,61.040279,1
1.162000,-242.892578,22.378443,2794.406250,39.157703,8.884257,61.021927,1
1.175000,-242.893417,22.380728,2794.416260,39.168716,8.862958,61.034378,1
1.187000,-242.891846,22.380039,2794.403320,39.192841,8.874352,61.019920,1
1.200000,-242.897385,22.383018,2794.408203,39.205662,8.862725,61.034878,1
1.212000,-242.892303,22.379599,2794.406738,39.184814,8.942522,61.037659,1
1.225000,-242.891739,22.375860,2794.410400,39.237434,8.877141,61.037167,1
1.237000,-242.892197,22.375648,2794.418457,39.123566,8.880253,61.023323,1
1.250000,-242.888641,22.377655,2794.379639,39.153107,8.846382,61.030827,1
1.262000,-242.890625,22.382273,2794.404541,39.205448,8.885330,61.039310,1
1.275000,-242.894073,22.378830,2794.412842,39.159084,8.885052,61.027767,1
1.287000,-242.890594,22.378857,2794.411377,39.207146,8.786748,61.036266,1
