,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,105.650459,-115.345062,2375.746826,31.201719,34.779961,37.948727,1
0.012000,105.653961,-115.344765,2375.741699,31.165754,34.738548,37.929089,1
0.025000,105.655228,-115.342941,2375.753418,31.205305,34.703819,37.955791,1
0.037000,105.658203,-115.344833,2375.737061,31.181778,34.694347,37.944607,1
0.049000,105.664581,-115.345596,2375.707520,31.226843,34.652683,37.980556,1
0.062000,105.661880,-115.346924,2375.727051,31.216940,34.672092,37.975967,1
0.074000,105.661400,-115.347145,2375.718506,31.200472,34.648281,37.966805,1
0.087000,105.664642,-115.347282,2375.706787,31.191504,34.645096,37.962742,1
0.099000,105.656708,-115.345047,2375.701172,31.263866,34.617371,38.001778,1
0.112000,105.655220,-115.343857,2375.693604,31.159140,34.651867,37.951485,1
0.124000,105.655731,-115.343468,2375.705078,31.185390,34.665157,37.956646,1
0.137000,105.655716,-115.347099,2375.709473,31.192211,34.589489,37.976460,1
0.149000,105.654404,-115.348976,2375.712646,31.237341,34.618458,37.994221,1
0.162000,105.657585,-115.346497,2375.730225,31.233568,34.675716,37.983913,1
0.174000,105.661949,-115.347389,2375.707275,31.226856,34.602013,37.989864,1
0.187000,105.662338,-115.347031,2375.687256,31.208876,34.613056,37.975502,1
0.199000,105.662903,-115.343216,2375.709717,31.243269,34.693985,37.983303,1
0.212000,105.663849,-115.341911,2375.710938,31.230183,34.593071,37.984459,1
0.224000,105.669777,-115.346016,2375.698242,31.183723,34.631264,37.962421,1
0.237000,105.661041,-115.341248,2375.722168,31.209457,34.637203,37.975014,1
0.249000,105.663788,-115.345901,2375.716553,31.190535,34.615807,37.965187,1
0.262000,105.665321,-115.348198,2375.723389,31.181931,34.630436,37.964657,1
0.274000,105.660713,-115.347343,2375.708008,31.156242,34.608669,37.951160,1
0.287000,105.658501,-115.343117,2375.696777,31.196869,34.648758,37.963989,1
0.299000,105.657196,-115.346092,2375.699463,31.194645,34.609261,37.973503,1
0.312000,105.658691,-115.344025,2375.695068,31.238983,34.602077,37.994026,1
0.324000,105.656746,-115.344940,2375.708740,31.229319,34.631687,37.986057,1
0.337000,105.659721,-115.344101,2375.708496,31.200670,34.617558,37.971069,1
0.349000,105.657356,-115.343575,2375.708008,31.231331,34.650589,37.984501,1
0.362000,105.661209,-115.341003,2375.701904,31.198200,34.574669,37.981102,1
0.374000,105.662628,-115.345573,2375.713867,31.180937,34.591393,37.963997,1
