,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,197.037582,-239.236115,3199.438721,19.654047,9.531075,-8.437999,1
0.012000,197.037216,-239.233246,3199.416504,19.560337,9.440899,-8.461094,1
0.025000,197.031876,-239.233887,3199.437988,19.701326,9.525894,-8.428244,1
0.037000,197.030792,-239.235168,3199.406250,19.610275,9.354237,-8.445134,1
0.049000,197.035721,-239.238113,3199.442383,19.512682,9.505050,-8.475981,1
0.062000,197.036926,-239.239014,3199.476318,19.570124,9.597925,-8.450718,1
0.074000,197.033234,-239.238235,3199.440186,19.601738,9.525842,-8.449248,1
0.087000,197.033981,-239.239899,3199.467285,19.499365,9.468472,-8.478053,1
0.099000,197.033798,-239.242477,3199.462158,19.626451,9.463337,-8.449884,1
0.112000,197.032196,-239.235840,3199.476562,19.696556,9.498090,-8.434147,1
0.124000,197.035446,-239.237228,3199.456299,19.505522,9.386430,-8.469033,1
0.137000,197.034424,-239.244949,3199.483643,19.626818,9.548122,-8.445464,1
0.149000,197.033371,-239.237381,3199.477051,19.627451,9.433587,-8.453642,1
0.162000,197.033508,-239.234787,3199.431885,19.613020,9.534515,-8.453264,1
0.174000,197.034103,-239.241852,3199.474854,19.556601,9.568662,-8.457281,1
0.187000,197.032211,-239.238327,3199.447510,19.490028,9.387383,-8.478249,1
0.199000,197.038635,-239.239899,3199.481445,19.538271,9.498571,-8.461015,1
0.212000,197.031006,-239.241455,3199.459229,19.542467,9.492868,-8.461013,1
0.224000,197.032715,-239.244522,3199.462158,19.506111,9.437863,-8.470286,1
0.237000,197.034485,-239.240143,3199.466553,19.585283,9.438041,-8.455395,1
0.249000,197.037033,-239.242432,3199.471436,19.576139,9.420009,-8.457911,1
0.262000,197.037277,-239.243774,3199.490234,19.570576,9.444447,-8.456700,1
0.274000,197.035721,-239.240540,3199.460449,19.588291,9.433309,-8.466097,1
0.287000,197.034256,-239.242966,3199.443604,19.581110,9.509551,-8.451618,1
0.299000,197.036972,-239.242325,3199.464355,19.657782,9.482903,-8.444860,1
0.312000,197.040222,-239.246643,3199.498779,19.575390,9.626122,-8.450709,1
0.324000,197.036407,-239.243317,3199.459961,19.626183,9.495139,-8.446356,1
0.337000,197.035248,-239.244446,3199.436279,19.563599,9.527282,-8.458523,1
0.349000,197.038040,-239.241425,3199.472168,19.600967,9.499520,-8.448829,1
0.362000,197.036499,-239.243912,3199.454590,19.521763,9.475545,-8.473083,1
0.374000,197.035400,-239.244598,3199.499023,19.478386,9.456291,-8.472087,1
0.387000,197.034836,-239.245132,3199.463379,19.535028,9.510714,-8.469306,1
0.399000,197.038177,-239.244415,3199.464355,19.680700,9.521394,-8.436122,1
0.412000,197.036331,-239.247726,3199.457031,19.503395,9.502140,-8.466023,1
0.424000,197.038040,-239.243668,3199.475830,19.500240,9.422698,-8.469955,1
0.437000,197.035828,-239.242401,3199.468262,19.667261,9.524400,-8.442603,1
0.449000,197.037018,-239.252777,3199.473877,19.562983,9.405807,-8.466009,1
0.462000,197.037231,-239.251221,3199.462646,19.680784,9.534373,-8.439568,1
0.474000,197.037109,-239.245926,3199.463379,19.559366,9.493105,-8.465026,1
0.487000,197.032104,-239.245255,3199.454590,19.597460,9.438218,-8.448742,1
0.499000,197.042221,-239.248596,3199.495361,19.453650,9.602478,-8.473408,1
0.512000,197.040604,-239.246750,3199.449707,19.619061,9.376586,-8.454471,1
0.524000,197.034760,-239.247391,3199.459229,19.639221,9.539405,-8.444836,1
0.537000,197.034180,-239.246582,3199.471191,19.509016,9.440876,-8.480761,1
0.549000,197.035751,-239.248322,3199.483154,19.543154,9.392369,-8.470269,1
