,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,19.569752,-151.156296,2587.787354,20.825008,8.263502,-8.429402,1
0.012000,19.563440,-151.152802,2587.789062,20.820515,8.311137,-8.426387,1
0.025000,19.556141,-151.155960,2587.765625,20.822878,8.294577,-8.436530,1
0.037000,19.545818,-151.154861,2587.775146,20.804523,8.254505,-8.441597,1
0.049000,19.532152,-151.155121,2587.799072,20.798605,8.299381,-8.439441,1
0.062000,19.525774,-151.152084,2587.771973,20.896763,8.244969,-8.423543,1
0.074000,19.520220,-151.154800,2587.764404,20.784779,8.290591,-8.436629,1
0.087000,19.521669,-151.150101,2587.778809,20.901880,8.303913,-8.424436,1
0.099000,19.522856,-151.153580,2587.767090,20.894337,8.241104,-8.418939,1
0.112000,19.529020,-151.153076,2587.783447,20.864233,8.282951,-8.429363,1
0.124000,19.534853,-151.149750,2587.785645,20.863930,8.269794,-8.423505,1
0.137000,19.545906,-151.149734,2587.766602,20.849274,8.291633,-8.426971,1
0.149000,19.555120,-151.152191,2587.791016,20.792141,8.271503,-8.446118,1
0.162000,19.561129,-151.150879,2587.795654,20.846596,8.262850,-8.422845,1
0.174000,19.563271,-151.150467,2587.798096,20.788506,8.245973,-8.437387,1
0.187000,19.568293,-151.151459,2587.786621,20.837252,8.261967,-8.439633,1
0.199000,19.569708,-151.151321,2587.804199,20.879086,8.256580,-8.429551,1
0.212000,19.566196,-151.148621,2587.798584,20.845850,8.189403,-8.440284,1
0.224000,19.560331,-151.151459,2587.799805,20.898409,8.229504,-8.424697,1
0.237000,19.552570,-151.146942,2587.784424,20.863811,8.245071,-8.422038,1
0.249000,19.540993,-151.143112,2587.769775,20.790182,8.238008,-8.448158,1
0.262000,19.539904,-151.151474,2587.789551,20.815247,8.226396,-8.437202,1
0.274000,19.529440,-151.147186,2587.776611,20.785622,8.312119,-8.438794,1
0.287000,19.523731,-151.148087,2587.772217,20.786219,8.275881,-8.438499,1
0.300000,19.526005,-151.150253,2587.776611,20.870060,8.221973,-8.435957,1
