,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.962000,-165.841309,62.012878,2855.741943,22.847542,-10.463900,-8.652897,1
0.975000,-165.844727,62.013805,2855.763428,22.815918,-10.433642,-8.662295,1
0.987000,-165.844269,62.012814,2855.760010,22.837015,-10.473464,-8.662361,1
1.000000,-165.844360,62.017220,2855.782715,22.717045,-10.459930,-8.678009,1
1.012000,-165.834793,62.013920,2855.749268,22.869009,-10.337358,-8.658522,1
1.025000,-165.836182,62.009998,2855.740479,22.880842,-10.491982,-8.653760,1
1.037000,-165.833786,62.012150,2855.736328,22.853075,-10.453522,-8.654701,1
1.050000,-165.838150,62.009953,2855.782471,22.821873,-10.429462,-8.656610,1
1.062000,-165.829956,62.012897,2855.761719,22.846848,-10.451554,-8.671287,1
1.075000,-165.833298,62.010620,2855.761963,22.821896,-10.479086,-8.656158,1
1.087000,-165.837296,62.011639,2855.736084,22.846252,-10.523252,-8.664185,1
1.100000,-165.838470,62.011997,2855.749268,22.784718,-10.363959,-8.665002,1
1.112000,-165.834244,62.012882,2855.754395,22.769926,-10.450941,-8.664625,1
1.125000,-165.844101,62.012672,2855.750977,22.960087,-10.426061,-8.660351,1
1.137000,-165.842072,62.011921,2855.749756,22.759602,-10.484597,-8.672071,1
1.150000,-165.842865,62.012047,2855.750000,22.819893,-10.498736,-8.658423,1
1.162000,-165.844070,62.010281,2855.754150,22.847937,-10.443017,-8.653490,1
1.175000,-165.847382,62.011875,2855.754883,22.823950,-10.384986,-8.666145,1
1.187000,-165.837631,62.011440,2855.721191,22.827423,-10.516619,-8.675201,1
1.200000,-165.841232,62.010220,2855.757812,22.845186,-10.411726,-8.660671,1
1.212000,-165.836243,62.012695,2855.747803,22.777075,-10.448216,-8.660113,1
1.225000,-165.839203,62.012573,2855.763916,22.790781,-10.509475,-8.674998,1
1.237000,-165.834930,62.013958,2855.760742,22.829388,-10.478458,-8.666286,1
1.250000,-165.833252,62.008648,2855.740234,22.787758,-10.536708,-8.668489,1
1.262000,-165.836380,62.013676,2855.749023,22.868725,-10.465173,-8.662063,1
1.275000,-165.836578,62.009529,2855.752441,22.807405,-10.475575,-8.668493,1
1.287000,-165.832993,62.011284,2855.735596,22.779520,-10.422381,-8.670287,1
