,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,-353.548981,-7.598236,2414.837158,18.555813,-1.424846,66.127663,1
0.012000,-353.546753,-7.598299,2414.830566,18.531269,-1.534994,66.163399,1
0.025000,-353.551971,-7.597237,2414.834473,18.583284,-1.503488,66.152870,1
0.037000,-353.547607,-7.596128,2414.808594,18.548384,-1.512295,66.162674,1
0.049000,-353.545929,-7.591704,2414.822021,18.591278,-1.527755,66.164452,1
0.062000,-353.546753,-7.593968,2414.819580,18.606863,-1.545007,66.170708,1
0.074000,-353.543243,-7.593414,2414.798828,18.597137,-1.481168,66.148453,1
0.087000,0,0,0,0,0,0,0
0.099000,-353.546722,-7.596489,2414.838379,18.545219,-1.553411,66.176590,1
0.112000,-353.550568,-7.593435,2414.816406,18.539169,-1.522064,66.161804,1
0.124000,-353.547821,-7.595634,2414.825439,18.624578,-1.408543,66.117149,1
0.137000,-353.552917,-7.595252,2414.833008,18.607000,-1.474653,66.143410,1
0.150000,-353.549377,-7.592468,2414.840088,18.559443,-1.502582,66.153442,1
0.162000,-353.553741,-7.596744,2414.818115,18.548527,-1.478326,66.153992,1
0.175000,-353.550049,-7.597451,2414.830322,18.584047,-1.456430,66.134918,1
0.187000,0,0,0,0,0,0,0
0.199000,-353.549255,-7.595455,2414.826416,18.606535,-1.455884,66.138023,1
0.212000,0,0,0,0,0,0,0
0.225000,-353.548676,-7.598464,2414.824707,18.590714,-1.482418,66.148285,1
0.237000,0,0,0,0,0,0,0
0.250000,0,0,0,0,0,0,0
0.262000,-353.548004,-7.596991,2414.821777,18.517193,-1.474185,66.146889,1
0.274000,-353.550201,-7.598725,2414.842285,18.564396,-1.439627,66.131493,1
0.287000,-353.549286,-7.594073,2414.819824,18.512693,-1.457348,66.144043,1
0.299000,-353.545746,-7.595873,2414.808594,18.523920,-1.488257,66.158760,1
0.312000,0,0,0,0,0,0,0
0.325000,-353.547913,-7.596625,2414.823975,18.579996,-1.412877,66.121758,1
0.337000,-353.549225,-7.594938,2414.824463,18.612141,-1.437420,66.137642,1
0.350000,0,0,0,0,0,0,0
0.362000,-353.551331,-7.599207,2414.825439,18.542879,-1.498778,66.154022,1
0.375000,-353.547913,-7.593975,2414.799316,18.528650,-1.477268,66.151749,1
0.387000,-353.551849,-7.593807,2414.820557,18.530785,-1.455640,66.144981,1
0.400000,-353.551910,-7.593694,2414.819580,18.584574,-1.495354,66.156609,1
0.412000,-353.550537,-7.595411,2414.816406,18.578465,-1.444526,66.134277,1
0.425000,-353.553711,-7.591082,2414.834961,18.568239,-1.515431,66.156342,1
0.437000,-353.547516,-7.595790,2414.821533,18.575687,-1.497108,66.155190,1
0.450000,-353.544830,-7.596681,2414.809814,18.586622,-1.437053,66.123894,1
0.462000,-353.546417,-7.596536,2414.835205,18.580931,-1.449143,66.138443,1
0.474000,-353.549286,-7.591369,2414.830566,18.596666,-1.408303,66.121391,1
