 X, Y, Z,Yaw,Pitch, Roll
18.151,33.866,4.306,-89.0832,-0.6777,-0.6027
18.151,33.866,4.306,-89.0826,-0.6774,-0.6023
18.151,33.866,4.306,-89.0821,-0.6771,-0.6018
18.151,33.866,4.306,-89.0815,-0.6768,-0.6013
18.151,33.866,4.306,-89.081,-0.6765,-0.6009
18.151,33.866,4.306,-89.0804,-0.6763,-0.6005
18.151,33.866,4.306,-89.0799,-0.676,-0.6
18.15,33.866,4.306,-89.0793,-0.6757,-0.5996
18.15,33.866,4.306,-89.0787,-0.6754,-0.5991
18.15,33.866,4.306,-89.0782,-0.6751,-0.5987
18.15,33.866,4.306,-89.0776,-0.6748,-0.5982
18.15,33.866,4.306,-89.0771,-0.6745,-0.5978
18.15,33.866,4.306,-89.0765,-0.6742,-0.5973
18.15,33.866,4.306,-89.076,-0.6739,-0.5969
18.15,33.866,4.306,-89.0754,-0.6736,-0.5965
18.15,33.866,4.306,-89.0749,-0.6734,-0.596
18.15,33.866,4.306,-89.0743,-0.6731,-0.5956
18.15,33.866,4.306,-89.0738,-0.6728,-0.5952
18.15,33.866,4.306,-89.0732,-0.6725,-0.5948
18.149,33.866,4.306,-89.0727,-0.6723,-0.5943
18.149,33.866,4.306,-89.0721,-0.672,-0.5939
18.149,33.866,4.306,-89.0716,-0.6717,-0.5934
18.149,33.866,4.306,-89.071,-0.6714,-0.593
18.149,33.866,4.306,-89.0705,-0.6711,-0.5926
18.149,33.866,4.306,-89.0699,-0.6708,-0.5921
18.149,33.866,4.306,-89.0694,-0.6705,-0.5917
18.149,33.866,4.306,-89.0688,-0.6702,-0.5913
18.149,33.866,4.306,-89.0683,-0.6699,-0.5908
18.148,33.866,4.306,-89.0677,-0.6697,-0.5904
18.149,33.866,4.306,-89.0672,-0.6694,-0.59
18.148,33.866,4.306,-89.0667,-0.6691,-0.5895
18.148,33.866,4.306,-89.0661,-0.6688,-0.5891
18.148,33.866,4.306,-89.0656,-0.6686,-0.5887
18.148,33.866,4.306,-89.065,-0.6683,-0.5883
18.148,33.866,4.306,-89.0645,-0.668,-0.5878
18.148,33.866,4.306,-89.0639,-0.6677,-0.5874
18.148,33.866,4.306,-89.0634,-0.6674,-0.587
18.148,33.866,4.306,-89.0628,-0.6672,-0.5865
18.148,33.866,4.306,-89.0623,-0.6669,-0.5861
18.147,33.866,4.306,-89.0617,-0.6666,-0.5857
18.148,33.866,4.306,-89.0612,-0.6663,-0.5852
18.148,33.866,4.306,-89.0607,-0.666,-0.5848
18.147,33.866,4.306,-89.0601,-0.6657,-0.5843
18.147,33.866,4.306,-89.0596,-0.6654,-0.5839
18.147,33.866,4.306,-89.0591,-0.6651,-0.5835
18.147,33.866,4.306,-89.0585,-0.6648,-0.583
18.147,33.866,4.306,-89.058,-0.6646,-0.5826
18.147,33.866,4.306,-89.0574,-0.6643,-0.5822
18.147,33.866,4.306,-89.0569,-0.664,-0.5817
18.147,33.866,4.306,-89.0564,-0.6637,-0.5813
18.147,33.866,4.306,-89.0558,-0.6634,-0.5809
18.146,33.866,4.306,-89.0553,-0.6631,-0.5805
18.147,33.866,4.306,-89.0547,-0.6629,-0.58
18.146,33.866,4.306,-89.0542,-0.6626,-0.5796
18.146,33.866,4.306,-89.0537,-0.6623,-0.5792
18.146,33.866,4.306,-89.0531,-0.662,-0.5788
18.146,33.866,4.306,-89.0526,-0.6617,-0.5783
18.146,33.866,4.306,-89.0521,-0.6614,-0.5779
18.146,33.866,4.306,-89.0515,-0.6612,-0.5775
18.146,33.866,4.306,-89.051,-0.6609,-0.577
18.146,33.866,4.306,-89.0505,-0.6606,-0.5766
18.146,33.866,4.306,-89.05,-0.6603,-0.5762
18.145,33.866,4.306,-89.0494,-0.66,-0.5757
18.145,33.866,4.306,-89.0489,-0.6597,-0.5753
18.146,33.866,4.305,-89.0484,-0.6594,-0.5749
18.145,33.866,4.306,-89.0479,-0.6591,-0.5744
18.145,33.866,4.306,-89.0473,-0.6588,-0.574
18.145,33.866,4.306,-89.0468,-0.6585,-0.5735
18.145,33.866,4.306,-89.0463,-0.6582,-0.5731
18.145,33.866,4.306,-89.0458,-0.658,-0.5727
18.145,33.866,4.305,-89.0452,-0.6577,-0.5722
