,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,357.003052,108.239723,2,195.579346,-0.074295,-1.374907,-0.063352,1
0.033000,357.002899,108.241104,2,195.568604,-0.071180,-1.386824,-0.065430,1
0.066000,357.094940,108.227005,2,195.542725,-0.116207,-1.681934,-0.120247,1
0.099000,357.092773,108.232475,2,195.550293,-0.114296,-1.662367,-0.117661,1
0.133000,357.035919,108.218399,2,195.647705,-0.134020,-1.980422,-0.179857,1
0.166000,357.035004,108.213890,2,195.655762,-0.135469,-2.007282,-0.180982,1
0.199000,357.029114,108.220718,2,195.631348,-0.131883,-1.976047,-0.179257,1
0.233000,357.033630,108.222946,2,195.645020,-0.132867,-1.974270,-0.180712,1
0.266000,357.035187,108.223640,2,195.647217,-0.120715,-1.992520,-0.183017,1
0.299000,357.034698,108.215660,2,195.637695,-0.134679,-2.004846,-0.180317,1
0.333000,357.032898,108.216026,2,195.634277,-0.128134,-1.998463,-0.181751,1
0.366000,357.029419,108.220787,2,195.628418,-0.132410,-1.976856,-0.178618,1
0.399000,357.029633,108.221542,2,195.636963,-0.130473,-1.977407,-0.179631,1
0.433000,357.028351,108.219566,2,195.633545,-0.131512,-1.973085,-0.178166,1
0.466000,357.031464,108.217712,2,195.635010,-0.128165,-1.971627,-0.179320,1
0.499000,357.033173,108.224388,2,195.633789,-0.130986,-1.975389,-0.180057,1
0.533000,357.037933,108.220589,2,195.641602,-0.135926,-1.979480,-0.178663,1
0.566000,357.030518,108.221001,2,195.623535,-0.131573,-1.941390,-0.176580,1
0.599000,357.031128,108.222954,2,195.649902,-0.129846,-1.992670,-0.181434,1
0.633000,357.032867,108.222580,2,195.641602,-0.142323,-1.974536,-0.177140,1
0.666000,357.034424,108.220924,2,195.652832,-0.124584,-2.002492,-0.182669,1
0.699000,357.034607,108.220596,2,195.636230,-0.130453,-1.979720,-0.179221,1
0.733000,357.032349,108.223152,2,195.636963,-0.124106,-1.988994,-0.181685,1
0.766000,357.035034,108.217583,2,195.635986,-0.133068,-1.980277,-0.179255,1
0.799000,357.033173,108.220230,2,195.635742,-0.132284,-1.947602,-0.176586,1
0.833000,357.030304,108.218567,2,195.629883,-0.135643,-1.981747,-0.178849,1
0.866000,357.030701,108.222664,2,195.639160,-0.131085,-1.983852,-0.180379,1
0.899000,357.031189,108.220734,2,195.631592,-0.129309,-1.962037,-0.176770,1
0.933000,357.032196,108.220711,2,195.638428,-0.137530,-1.968926,-0.177735,1
0.966000,357.033142,108.221497,2,195.621826,-0.131386,-1.968521,-0.178697,1
0.999000,357.034393,108.219864,2,195.635254,-0.136065,-1.974997,-0.179062,1
1.032000,357.032684,108.221329,2,195.638184,-0.134126,-1.972564,-0.177915,1
1.066000,357.030823,108.222191,2,195.638916,-0.128307,-1.983331,-0.179581,1
1.099000,357.031616,108.221527,2,195.639648,-0.138161,-1.945040,-0.176409,1
1.132000,357.034912,108.214867,2,195.631348,-0.125553,-1.977325,-0.181945,1
1.166000,357.035370,108.222649,2,195.637939,-0.128606,-1.970602,-0.181173,1
1.199000,357.032318,108.218361,2,195.635986,-0.123925,-1.950054,-0.176947,1
1.232000,357.028900,108.221039,2,195.630615,-0.132477,-1.967381,-0.177658,1
1.266000,357.034882,108.222633,2,195.654053,-0.129799,-1.976453,-0.178985,1
1.299000,357.033112,108.222870,2,195.635498,-0.124915,-1.959160,-0.179611,1
1.332000,357.038452,108.221985,2,195.640381,-0.123393,-1.955683,-0.179507,1
1.366000,357.035309,108.219910,2,195.644287,-0.134478,-1.985524,-0.180586,1
1.399000,357.033264,108.221107,2,195.623291,-0.122828,-1.960164,-0.179591,1
1.432000,357.032379,108.222404,2,195.628662,-0.127932,-1.957391,-0.177413,1
1.466000,357.034668,108.217911,2,195.656738,-0.132349,-1.983801,-0.178614,1
1.499000,357.032288,108.220970,2,195.643555,-0.129337,-1.974727,-0.178233,1
1.532000,357.032043,108.220375,2,195.643799,-0.134062,-1.968962,-0.177196,1
1.566000,357.030762,108.220711,2,195.632324,-0.129968,-1.970089,-0.179848,1
1.599000,357.033905,108.221748,2,195.628662,-0.129506,-1.941974,-0.178200,1
1.632000,357.033386,108.219887,2,195.631592,-0.131054,-1.957503,-0.176669,1
1.666000,357.030884,108.220512,2,195.624756,-0.132821,-1.948931,-0.176650,1
1.699000,357.029816,108.217613,2,195.633545,-0.133161,-2.002368,-0.180447,1
1.732000,357.026154,108.219986,2,195.617432,-0.135985,-1.968813,-0.176167,1
1.766000,357.034363,108.218094,2,195.644287,-0.133423,-1.956940,-0.174582,1
1.799000,357.033661,108.221397,2,195.641846,-0.120421,-1.979952,-0.179267,1
1.832000,357.034424,108.222626,2,195.636230,-0.132278,-1.987783,-0.182380,1
1.866000,357.035919,108.218529,2,195.637451,-0.134377,-1.985348,-0.178595,1
1.899000,357.030792,108.218811,2,195.632080,-0.134572,-2.006100,-0.181068,1
1.932000,357.029663,108.221138,2,195.645508,-0.126433,-1.960257,-0.179252,1
1.966000,357.029755,108.226006,2,195.648926,-0.127349,-1.967129,-0.180018,1
1.999000,357.030151,108.249985,2,195.663330,-0.130059,-1.978100,-0.182236,1
2.032000,357.043549,108.277748,2,195.681885,-0.132122,-1.939815,-0.181514,1
2.065000,357.024902,108.272987,2,195.697021,-0.093810,-1.989915,-0.187307,1
2.099000,356.978394,108.303993,2,195.571777,-0.022609,-1.996295,-0.183425,1
2.132000,356.952637,108.397118,2,195.298340,0.155921,-2.009634,-0.199435,1
2.165000,356.898285,108.541801,2,194.637451,0.456064,-2.032279,-0.214999,1
2.199000,356.895996,108.780937,2,193.599609,0.941643,-2.040002,-0.250264,1
2.232000,356.889801,109.128899,2,192.036621,1.620688,-2.052352,-0.282663,1
2.265000,356.926880,109.715378,2,189.918213,2.605051,-1.951975,-0.332220,1
2.299000,356.877930,110.482506,2,186.812012,3.948856,-1.990802,-0.403689,1
2.332000,356.768066,111.583534,2,183.097168,5.642032,-1.957161,-0.479035,1
2.365000,356.759644,113.027672,2,178.107666,7.523286,-2.035652,-0.593182,1
2.399000,356.787476,114.568321,2,173.635498,9.461605,-1.982153,-0.683105,1
2.432000,356.862488,116.243935,2,168.985596,11.375377,-2.059329,-0.794264,1
2.465000,356.810242,117.997429,2,165.177246,13.250569,-1.965509,-0.863365,1
2.499000,356.794373,119.927574,2,161.455078,15.099956,-1.950273,-0.981618,1
2.532000,356.596436,121.586189,2,157.933838,16.638176,-1.964535,-1.046520,1
2.565000,356.506805,123.009247,2,155.166504,17.881191,-1.958798,-1.116689,1
2.599000,356.511780,124.152824,2,152.733887,18.782402,-1.921958,-1.130740,1
2.632000,356.554779,124.853989,2,151.789795,19.465714,-1.075071,-0.780754,1
2.665000,356.595978,125.281006,2,151.124512,19.791267,-1.182534,-0.843242,1
2.699000,356.613861,125.300972,2,151.315918,19.830524,-1.099143,-0.823219,1
2.732000,356.534180,124.941948,2,151.686035,19.544775,-1.076514,-0.786621,1
2.765000,356.518097,124.301361,2,152.851074,18.922750,-1.921311,-1.150653,1
2.799000,356.556274,123.174957,2,154.762695,18.055485,-1.958973,-1.115354,1
2.832000,356.628845,121.800926,2,157.238770,16.861029,-1.984615,-1.058370,1
2.865000,356.696472,120.120743,2,160.550537,15.353496,-1.958480,-0.976425,1
2.899000,356.706512,118.324577,2,164.226318,13.571541,-2.060756,-0.904512,1
2.932000,356.728302,116.395645,2,168.615723,11.698243,-2.065389,-0.809508,1
2.965000,356.743164,114.817703,2,172.874023,9.744345,-2.025776,-0.704176,1
2.999000,356.732727,113.153702,2,177.812256,7.876691,-2.033870,-0.604115,1
3.032000,356.738434,111.764229,2,181.747803,5.959877,-1.991112,-0.500308,1
3.065000,356.738586,110.547302,2,185.957764,4.184752,-2.032242,-0.411659,1
3.099000,356.924927,109.747459,2,189.319336,2.725493,-1.971585,-0.341618,1
3.132000,356.922455,109.133774,2,192.379395,1.543193,-2.024716,-0.275343,1
3.165000,357.037292,108.718460,2,194.352051,0.688015,-2.025444,-0.241867,1
3.199000,356.946045,108.492477,2,195.525391,0.122745,-1.989375,-0.208354,1
3.232000,357.032593,108.408600,2,196.126221,-0.109756,-1.967072,-0.202640,1
3.265000,356.823486,108.490150,2,195.776611,-0.122385,-2.033020,-0.215768,1
3.298000,355.249573,108.284622,2,195.620850,-0.142338,-2.013289,-0.189012,1
3.332000,352.404297,108.190247,2,195.185303,-0.140040,-2.099301,-0.179464,1
3.365000,348.151031,108.242661,2,195.413330,-0.121631,-1.998859,-0.173653,1
3.398000,342.527496,108.389763,2,195.574219,-0.149975,-1.889020,-0.176979,1
3.432000,335.458221,108.535309,2,196.118164,-0.140198,-1.935354,-0.186525,1
3.465000,327.108917,108.480255,2,196.391602,-0.151087,-1.890906,-0.162295,1
3.498000,318.922302,108.722046,2,196.595703,-0.146966,-1.883373,-0.186323,1
3.532000,310.564117,108.789894,2,196.495605,-0.149192,-1.858059,-0.173115,1
3.565000,302.411499,108.820122,2,196.336914,-0.137424,-1.532801,-0.120167,1
3.598000,294.079742,108.909485,2,196.384521,-0.137591,-1.576321,-0.120767,1
3.632000,285.901337,109.110573,2,196.589600,-0.135278,-1.545038,-0.139501,1
3.665000,277.291382,109.064491,2,196.876953,-0.111499,-1.204855,-0.058347,1
3.698000,268.921936,109.262123,2,197.068848,-0.112919,-1.158388,-0.071359,1
3.732000,260.547546,109.339897,2,197.261963,-0.114389,-1.172869,-0.070979,1
3.765000,252.226974,109.344093,2,197.388916,-0.119326,-1.097438,-0.057161,1
3.798000,243.958420,109.467529,2,197.623291,-0.043695,-0.511372,-0.023173,1
3.832000,235.731750,109.604630,2,197.588379,-0.125360,-1.028085,-0.069943,1
3.865000,227.306931,109.578804,2,197.756592,-0.052105,-0.357380,-0.012518,1
3.898000,218.909653,109.803078,2,197.964111,-0.075886,-0.281987,-0.015475,1
3.932000,210.577316,109.842186,2,198.228516,-0.038693,-0.209363,-0.013004,1
3.965000,202.141754,109.870003,2,198.460693,-0.054100,-0.209409,-0.002521,1
3.998000,193.966629,110.062584,2,198.524658,-0.052395,-0.203369,-0.019071,1
4.032000,185.619110,110.142403,2,198.503906,-0.074629,-0.222116,-0.018649,1
4.065000,177.478500,110.112938,2,198.550781,-0.064794,-0.208797,-0.002608,1
4.098000,170.754364,110.357330,2,198.736572,-0.057016,-0.144360,-0.015488,1
4.132000,165.321869,110.399529,2,199.009521,-0.057248,-0.044565,-0.009910,1
4.165000,161.191010,110.404335,2,199.321289,-0.066259,-0.039279,-0.007028,1
4.198000,158.435913,110.410118,2,199.426514,-0.057963,0.017282,-0.002395,1
4.232000,157.033768,110.395386,2,199.314453,-0.057985,-0.022367,-0.001673,1
4.265000,156.915451,110.399506,2,199.105713,-0.046670,0.018704,-0.003888,1
4.298000,156.865402,110.321465,2,197.981201,-0.037284,0.055575,0.006794,1
4.331000,156.883194,110.377266,2,195.989014,-0.059683,0.020439,-0.001755,1
4.365000,156.700653,110.353661,2,192.328125,-0.059765,0.043452,0.002348,1
4.398000,156.553879,110.424843,2,186.996826,-0.054544,0.043287,-0.000314,1
4.431000,156.367935,110.448761,2,179.966064,-0.045949,-0.019596,-0.007517,1
