,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,357.000977,108.239876,2,195.598145,-0.084163,-1.404264,-0.064795,1
0.033000,357.001373,108.240631,2,195.583496,-0.073734,-1.385836,-0.064241,1
0.066000,357.089294,108.230759,2,195.537842,-0.110414,-1.637291,-0.118138,1
0.099000,357.090637,108.224602,2,195.541992,-0.117940,-1.677042,-0.119386,1
0.133000,357.035156,108.213577,2,195.653076,-0.144923,-1.984304,-0.177788,1
0.166000,357.031921,108.216743,2,195.646729,-0.135153,-1.982539,-0.178916,1
0.199000,357.033691,108.215843,2,195.640625,-0.130914,-1.952656,-0.176987,1
0.233000,357.033813,108.215240,2,195.644775,-0.136049,-1.985082,-0.181347,1
0.266000,357.033508,108.220306,2,195.646729,-0.133683,-1.965265,-0.178388,1
0.299000,357.035522,108.217430,2,195.650391,-0.130128,-1.986762,-0.180212,1
0.333000,357.031738,108.216782,2,195.644531,-0.133338,-1.964581,-0.178540,1
0.366000,357.035431,108.215668,2,195.645508,-0.135030,-1.954607,-0.178375,1
0.399000,357.034241,108.218941,2,195.639648,-0.135992,-1.910312,-0.173013,1
0.433000,357.036865,108.218452,2,195.653320,-0.129999,-1.994875,-0.179753,1
0.466000,357.034363,108.213181,2,195.642090,-0.140543,-2.012312,-0.182591,1
0.499000,357.030640,108.220230,2,195.636719,-0.130585,-1.939815,-0.177726,1
0.533000,357.032623,108.218025,2,195.630859,-0.125464,-1.946440,-0.179686,1
0.566000,357.035431,108.214668,2,195.652344,-0.136151,-2.007043,-0.181536,1
0.599000,357.035217,108.216415,2,195.650635,-0.132776,-1.976542,-0.178787,1
0.633000,357.033875,108.217941,2,195.643555,-0.131726,-1.973841,-0.179891,1
0.666000,357.033569,108.216179,2,195.641602,-0.125898,-1.944201,-0.177001,1
0.699000,357.035248,108.215042,2,195.648682,-0.132373,-1.961937,-0.178282,1
0.733000,357.036865,108.220291,2,195.648438,-0.131428,-1.970469,-0.180137,1
0.766000,357.036285,108.218033,2,195.658447,-0.131043,-1.973534,-0.180940,1
0.799000,357.032928,108.217667,2,195.645752,-0.140565,-1.983753,-0.180854,1
0.833000,357.032745,108.216553,2,195.633789,-0.129411,-1.960978,-0.177714,1
0.866000,357.030914,108.218819,2,195.637207,-0.133654,-1.968580,-0.178449,1
0.899000,357.034332,108.215546,2,195.652832,-0.134621,-1.997162,-0.180599,1
0.933000,357.033722,108.219177,2,195.645508,-0.133776,-1.954351,-0.176447,1
