,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,356.998779,108.244339,2,195.567139,-0.074141,-1.353142,-0.062434,1
0.033000,356.999908,108.245270,2,195.581543,-0.075826,-1.399973,-0.065903,1
0.066000,357.089386,108.240387,2,195.555664,-0.112736,-1.671109,-0.118624,1
0.099000,357.089722,108.237930,2,195.561523,-0.114469,-1.706352,-0.120729,1
0.133000,357.034088,108.219055,2,195.666016,-0.136958,-1.980625,-0.178867,1
0.166000,357.030548,108.217918,2,195.634521,-0.141671,-1.974889,-0.179187,1
0.199000,357.033600,108.221939,2,195.655273,-0.125536,-2.004798,-0.183065,1
0.233000,357.035095,108.222824,2,195.650879,-0.129358,-1.991437,-0.182375,1
0.266000,357.034485,108.221825,2,195.647949,-0.143348,-1.956312,-0.175245,1
0.299000,357.028503,108.220383,2,195.632568,-0.132422,-1.967920,-0.178295,1
0.333000,357.034454,108.223221,2,195.643799,-0.132733,-1.956226,-0.177355,1
0.366000,357.033447,108.222656,2,195.650635,-0.136742,-1.969358,-0.177724,1
0.399000,357.033173,108.223595,2,195.652588,-0.132118,-1.986643,-0.180638,1
0.433000,357.031525,108.220963,2,195.639893,-0.130091,-1.978402,-0.177662,1
0.466000,357.035370,108.223251,2,195.652832,-0.123595,-1.997958,-0.184225,1
0.499000,357.031525,108.218452,2,195.631104,-0.128878,-1.940793,-0.176676,1
0.533000,357.031189,108.224411,2,195.633057,-0.131510,-1.936367,-0.175142,1
0.566000,357.029907,108.222908,2,195.621094,-0.134099,-1.933091,-0.175179,1
0.599000,357.032440,108.222466,2,195.645508,-0.129987,-1.968390,-0.178172,1
0.633000,357.032196,108.224213,2,195.628418,-0.128949,-1.943710,-0.178822,1
0.666000,357.032043,108.219414,2,195.627930,-0.134908,-1.950792,-0.175662,1
0.699000,357.033813,108.219627,2,195.643311,-0.134581,-2.005914,-0.180491,1
0.733000,357.033447,108.220940,2,195.641357,-0.132903,-1.985288,-0.181725,1
0.766000,357.034454,108.223206,2,195.635254,-0.133992,-1.935199,-0.174135,1
0.799000,357.036346,108.219398,2,195.644775,-0.135412,-1.990532,-0.180829,1
0.833000,357.038208,108.222450,2,195.651123,-0.137971,-1.964582,-0.179738,1
0.866000,357.033905,108.224770,2,195.638184,-0.135742,-1.937857,-0.176418,1
0.899000,357.032349,108.223228,2,195.639404,-0.134786,-1.948895,-0.175513,1
0.933000,357.031219,108.222939,2,195.637207,-0.130345,-1.996666,-0.181682,1
0.966000,357.030304,108.220367,2,195.635742,-0.138466,-1.967138,-0.176147,1
0.999000,357.032593,108.222694,2,195.645264,-0.127412,-2.000426,-0.180811,1
1.033000,357.032349,108.222633,2,195.625732,-0.130950,-1.975701,-0.179170,1
1.066000,357.032623,108.223640,2,195.653564,-0.130345,-1.970201,-0.179997,1
1.099000,357.031525,108.221756,2,195.637207,-0.133341,-1.954438,-0.177544,1
1.132000,357.032898,108.221153,2,195.647949,-0.125561,-1.986985,-0.180899,1
1.166000,357.032532,108.222038,2,195.646484,-0.133445,-1.960438,-0.176935,1
1.199000,357.030273,108.219559,2,195.633545,-0.141588,-1.967678,-0.177374,1
1.232000,357.031616,108.220688,2,195.645264,-0.134907,-1.977522,-0.179105,1
1.266000,357.032593,108.221634,2,195.640625,-0.130316,-1.956675,-0.179106,1
1.299000,357.032990,108.219627,2,195.635498,-0.132052,-1.937193,-0.177302,1
1.332000,357.032104,108.221764,2,195.637451,-0.134751,-1.951127,-0.175569,1
1.366000,357.031677,108.221954,2,195.640137,-0.138235,-1.968743,-0.179640,1
1.399000,357.028412,108.221565,2,195.638916,-0.131812,-1.961890,-0.176944,1
1.432000,357.034576,108.225677,2,195.647217,-0.120547,-1.981988,-0.183199,1
1.466000,357.031036,108.220139,2,195.631592,-0.132816,-1.961756,-0.177987,1
1.499000,357.030823,108.219627,2,195.643066,-0.135579,-1.991546,-0.179372,1
1.532000,357.028717,108.221237,2,195.632324,-0.128324,-1.958913,-0.177966,1
1.566000,357.030914,108.221146,2,195.653076,-0.132056,-2.017883,-0.179881,1
1.599000,357.032867,108.223175,2,195.642090,-0.134655,-1.969824,-0.178736,1
1.632000,357.031799,108.221703,2,195.639404,-0.130213,-1.968071,-0.178636,1
1.666000,357.030518,108.225571,2,195.641602,-0.133146,-1.967780,-0.178620,1
1.699000,357.032074,108.225342,2,195.646973,-0.137876,-1.960822,-0.177052,1
1.732000,357.031769,108.244827,2,195.660400,-0.134088,-1.998739,-0.182187,1
1.766000,357.043823,108.290123,2,195.681396,-0.134388,-1.989851,-0.188691,1
1.799000,357.026154,108.266350,2,195.709229,-0.112166,-1.995026,-0.184329,1
