,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,356.998932,108.235641,2,195.551270,-0.078286,-1.350643,-0.063068,1
0.033000,356.999054,108.233192,2,195.568115,-0.071033,-1.374283,-0.064410,1
0.066000,357.089783,108.237152,2,195.542725,-0.121616,-1.681002,-0.117581,1
0.099000,357.088806,108.225334,2,195.552246,-0.123878,-1.673778,-0.117478,1
0.133000,357.088715,108.229759,2,195.548828,-0.117593,-1.680797,-0.119133,1
0.166000,357.030212,108.217812,2,195.635254,-0.131880,-1.975734,-0.180979,1
0.199000,357.034088,108.256897,2,195.665771,-0.136076,-1.938130,-0.181611,1
0.233000,357.037537,108.265900,2,195.680908,-0.130162,-2.004048,-0.186622,1
0.266000,357.003174,108.272446,2,195.669434,-0.092734,-1.979301,-0.180208,1
0.299000,356.971436,108.314407,2,195.522217,0.006629,-2.025351,-0.187501,1
0.333000,356.931366,108.410904,2,195.185303,0.209272,-2.012164,-0.199809,1
0.366000,356.892975,108.564117,2,194.467285,0.546384,-2.016048,-0.220917,1
0.399000,356.882538,108.836693,2,193.296387,1.055913,-2.007864,-0.251831,1
0.433000,356.901001,109.234055,2,191.713867,1.805780,-2.009247,-0.296919,1
0.466000,356.917145,109.841690,2,189.354736,2.847512,-1.980279,-0.348486,1
0.499000,356.868744,110.664787,2,186.126221,4.251718,-2.001534,-0.419697,1
0.533000,356.772827,111.860992,2,182.286865,6.051098,-1.992309,-0.514318,1
0.566000,356.783539,113.325104,2,177.237549,7.922818,-2.093027,-0.630323,1
0.599000,356.788269,114.884735,2,172.567627,9.836585,-2.084360,-0.726265,1
0.633000,356.893494,116.621300,2,168.225342,11.739633,-2.048438,-0.814420,1
0.666000,356.823669,118.398499,2,164.322021,13.628915,-1.961605,-0.887620,1
0.699000,356.772675,120.283562,2,160.839111,15.419211,-1.927708,-0.990763,1
0.733000,356.558014,121.866150,2,157.174561,16.893616,-2.007981,-1.074841,1
0.766000,356.484283,123.273087,2,154.764893,18.098679,-1.954095,-1.127986,1
0.799000,356.552734,124.330223,2,152.418213,18.941782,-1.969223,-1.162860,1
0.833000,356.544495,124.958435,2,151.707275,19.563341,-1.169361,-0.833221,1
0.866000,356.622559,125.311111,2,151.133545,19.813654,-1.196613,-0.853674,1
0.899000,356.569275,125.230629,2,151.358887,19.804762,-1.163328,-0.846841,1
0.932000,356.572784,124.835999,2,151.815430,19.383980,-1.821115,-1.136958,1
0.966000,356.505219,124.114067,2,153.121094,18.766514,-1.859819,-1.117180,1
