,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,357.001038,108.245232,2,195.569824,-0.075861,-1.377054,-0.065123,1
0.033000,357.000519,108.240265,2,195.581055,-0.087822,-1.411625,-0.065082,1
0.066000,357.091431,108.234512,2,195.557861,-0.125672,-1.691800,-0.119125,1
0.099000,357.093018,108.230255,2,195.560303,-0.122671,-1.698067,-0.121707,1
0.133000,357.032532,108.217064,2,195.638184,-0.141704,-1.951825,-0.176831,1
0.166000,357.032776,108.220139,2,195.632080,-0.144339,-1.962162,-0.176835,1
0.199000,357.035065,108.221298,2,195.633789,-0.134300,-1.937877,-0.176848,1
0.233000,357.036346,108.219025,2,195.646729,-0.130395,-1.986279,-0.182113,1
0.266000,357.033600,108.217270,2,195.642578,-0.126535,-1.950035,-0.177526,1
0.299000,357.036011,108.222008,2,195.649658,-0.134471,-1.939998,-0.176053,1
0.333000,357.035004,108.220749,2,195.637207,-0.132760,-1.965633,-0.176910,1
0.366000,357.033508,108.219467,2,195.641357,-0.135895,-1.995901,-0.180393,1
0.399000,357.036377,108.218506,2,195.639648,-0.135271,-1.974656,-0.180180,1
0.433000,357.031799,108.219215,2,195.635254,-0.138533,-1.983811,-0.178662,1
0.466000,357.034637,108.222260,2,195.633545,-0.130234,-1.934090,-0.178594,1
0.499000,357.037170,108.224762,2,195.643555,-0.127469,-1.947970,-0.177520,1
0.533000,357.035400,108.219978,2,195.644287,-0.135510,-1.954819,-0.178203,1
0.566000,357.036987,108.221138,2,195.646240,-0.126461,-1.965772,-0.179792,1
0.599000,357.037018,108.219444,2,195.650635,-0.138478,-1.989982,-0.179658,1
0.633000,357.036072,108.218536,2,195.640381,-0.135854,-1.943288,-0.176445,1
0.666000,357.034119,108.219055,2,195.639893,-0.133806,-1.980637,-0.180712,1
0.699000,357.036804,108.217072,2,195.647217,-0.128730,-1.981067,-0.181415,1
0.733000,357.036194,108.218956,2,195.641846,-0.129164,-1.955885,-0.179758,1
0.766000,357.035767,108.218948,2,195.644775,-0.135099,-2.013166,-0.181377,1
0.799000,357.036713,108.218575,2,195.644775,-0.133937,-1.996961,-0.179760,1
0.833000,357.034363,108.220505,2,195.637207,-0.133091,-1.981154,-0.179868,1
0.866000,357.034851,108.218102,2,195.637939,-0.139495,-1.950755,-0.177852,1
0.899000,357.036072,108.222054,2,195.636963,-0.134118,-1.951599,-0.178306,1
0.933000,357.032623,108.221298,2,195.632080,-0.141413,-1.958844,-0.177243,1
0.966000,357.033478,108.220360,2,195.638672,-0.128866,-1.954774,-0.178317,1
0.999000,357.034149,108.215492,2,195.651855,-0.135206,-2.033356,-0.183842,1
1.032000,357.036743,108.221031,2,195.639893,-0.133477,-1.970748,-0.181088,1
1.066000,357.036804,108.222122,2,195.640625,-0.125979,-1.956861,-0.179596,1
1.099000,357.034607,108.219475,2,195.656006,-0.134634,-1.976422,-0.178392,1
1.132000,357.033234,108.224060,2,195.650635,-0.129158,-1.948606,-0.177999,1
1.166000,357.036987,108.216843,2,195.653076,-0.134934,-2.033205,-0.185453,1
1.199000,357.034668,108.217842,2,195.636719,-0.132224,-1.978366,-0.178797,1
