,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,357.001434,108.237724,2,195.553955,-0.079098,-1.387176,-0.066738,1
0.033000,356.995575,108.239792,2,195.568115,-0.075286,-1.373411,-0.064095,1
0.066000,357.088409,108.228683,2,195.561523,-0.116562,-1.698158,-0.121650,1
0.099000,357.091431,108.228210,2,195.551758,-0.117198,-1.659137,-0.118778,1
0.133000,357.030823,108.215935,2,195.605713,-0.132550,-1.999876,-0.183604,1
0.166000,357.091919,108.235703,2,195.535400,-0.113447,-1.709655,-0.121207,1
0.199000,357.037292,108.219933,2,195.627930,-0.134484,-1.985639,-0.180009,1
0.233000,357.035706,108.217323,2,195.627441,-0.133802,-1.979803,-0.180362,1
0.266000,357.031616,108.218651,2,195.636230,-0.131448,-2.006029,-0.182588,1
0.299000,357.023804,108.217537,2,195.634521,-0.137308,-1.989631,-0.180910,1
0.333000,357.029175,108.219772,2,195.624756,-0.127978,-1.962551,-0.178655,1
0.366000,357.033508,108.219780,2,195.608887,-0.133368,-1.930642,-0.175705,1
0.399000,357.038849,108.218849,2,195.630615,-0.131846,-1.980697,-0.180756,1
0.433000,357.032898,108.216400,2,195.621826,-0.139665,-1.985438,-0.179122,1
0.466000,357.026764,108.218628,2,195.616455,-0.136731,-1.960345,-0.178199,1
0.499000,357.028076,108.219147,2,195.627930,-0.140952,-1.989573,-0.178920,1
0.533000,357.031830,108.216545,2,195.645996,-0.128689,-1.966690,-0.180433,1
0.566000,357.036621,108.219086,2,195.630615,-0.133497,-1.959863,-0.178889,1
0.599000,357.036591,108.217087,2,195.625000,-0.142010,-1.978363,-0.179768,1
0.633000,357.035583,108.220467,2,195.619629,-0.131119,-2.000193,-0.182661,1
0.666000,357.029724,108.219437,2,195.604492,-0.127543,-1.961565,-0.178449,1
0.699000,357.031494,108.217964,2,195.631592,-0.141889,-1.983580,-0.179074,1
0.733000,357.031097,108.220421,2,195.636475,-0.138001,-1.954233,-0.176823,1
0.766000,357.033203,108.219666,2,195.628906,-0.135555,-1.923344,-0.174646,1
0.799000,357.032013,108.219810,2,195.618652,-0.134405,-1.989187,-0.178999,1
0.833000,357.032043,108.216316,2,195.618408,-0.136538,-1.966791,-0.179313,1
0.866000,357.029968,108.217209,2,195.611328,-0.133376,-1.963993,-0.179305,1
