,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,357.002502,108.240387,2,195.580078,-0.076683,-1.395785,-0.065755,1
0.033000,357.005402,108.238548,2,195.571777,-0.073003,-1.365629,-0.064861,1
0.066000,357.089996,108.231743,2,195.537598,-0.115375,-1.637133,-0.116786,1
0.099000,357.091949,108.224419,2,195.541992,-0.121478,-1.651278,-0.116955,1
0.133000,357.092438,108.232056,2,195.568848,-0.108108,-1.698205,-0.122873,1
0.166000,357.097351,108.230194,2,195.578125,-0.103776,-1.684545,-0.123984,1
0.199000,357.033875,108.216339,2,195.647461,-0.135527,-1.994405,-0.181791,1
0.233000,357.042389,108.220779,2,195.662109,-0.126862,-2.001403,-0.184242,1
0.266000,357.036713,108.216843,2,195.639160,-0.128822,-1.977348,-0.180936,1
0.299000,357.034485,108.214981,2,195.646973,-0.124935,-2.004677,-0.183516,1
0.333000,357.035858,108.214722,2,195.649414,-0.132854,-2.022871,-0.183388,1
0.366000,357.035583,108.217354,2,195.644043,-0.130783,-1.965525,-0.180549,1
0.399000,357.036774,108.216759,2,195.645752,-0.123239,-1.972324,-0.181104,1
0.433000,357.034149,108.215378,2,195.638428,-0.131947,-1.964735,-0.178270,1
0.466000,357.038727,108.221802,2,195.651123,-0.125753,-1.960004,-0.182171,1
0.499000,357.035645,108.214455,2,195.640137,-0.138963,-1.992289,-0.181158,1
0.533000,357.040009,108.219055,2,195.654053,-0.126147,-1.974899,-0.182029,1
0.566000,357.034027,108.215210,2,195.651611,-0.130243,-1.989218,-0.179745,1
0.599000,357.034088,108.215179,2,195.645508,-0.127602,-1.991104,-0.182537,1
0.633000,357.037018,108.217499,2,195.641357,-0.125017,-1.950121,-0.180013,1
0.666000,357.037201,108.213760,2,195.653076,-0.128547,-1.996966,-0.181680,1
0.699000,357.032990,108.211006,2,195.643555,-0.127593,-1.959631,-0.179105,1
0.733000,357.031464,108.227173,2,195.661133,-0.126279,-1.971485,-0.183185,1
0.766000,357.036438,108.267830,2,195.678955,-0.128251,-1.993802,-0.186752,1
0.799000,357.028961,108.256813,2,195.704834,-0.105491,-1.998781,-0.188523,1
0.833000,356.975250,108.277405,2,195.622314,-0.055944,-2.014223,-0.183781,1
0.866000,356.959045,108.351723,2,195.396484,0.090344,-2.039016,-0.195507,1
0.899000,356.896240,108.464890,2,194.882080,0.369569,-2.005059,-0.206562,1
0.932000,356.870819,108.679008,2,193.954834,0.790647,-2.013651,-0.233541,1
0.966000,356.862274,108.984764,2,192.536133,1.398823,-2.017962,-0.264903,1
0.999000,356.908203,109.513222,2,190.645264,2.294176,-1.942376,-0.314657,1
1.032000,356.909515,110.233429,2,187.750977,3.509974,-1.981899,-0.379002,1
1.066000,356.811005,111.233673,2,184.235596,5.123010,-2.014802,-0.465430,1
1.099000,356.750122,112.599602,2,179.498291,6.986624,-2.047905,-0.566040,1
