,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
0,base,tool0_controller,0.166409719302,-0.8099760759,0.200031604215,0.707056703272,6.46312416881e-05,7.12599110086e-05,0.707156849011
1,base,tool0_controller,0.166410670236,-0.810015349641,0.200033321497,0.707044147436,6.93969520517e-05,5.58495600934e-05,0.707169403779
2,base,tool0_controller,0.166396733508,-0.810012460735,0.20002369278,0.707064589065,6.02923601512e-05,6.72421541174e-05,0.707148965024
3,base,tool0_controller,0.166334554132,-0.810036033344,0.200055952818,0.707047679225,4.24966139711e-05,2.1036887701e-05,0.707165876619
4,base,tool0_controller,0.166419294677,-0.809967832683,0.200024195536,0.70706285795,0.000114444805879,6.0229825872e-05,0.707150689869
5,base,tool0_controller,0.166416758719,-0.810028293682,0.20007514361,0.707026008667,0.000102042273526,4.83145897571e-05,0.707187535468
6,base,tool0_controller,0.166361026019,-0.809986312957,0.200021822654,0.707073319023,5.88708561672e-05,2.01157151552e-05,0.70714023903
7,base,tool0_controller,0.166396620599,-0.810018549805,0.200043925618,0.707039478202,8.48699268154e-05,4.25593619461e-05,0.707174071392
8,upper_arm_link,forearm_link,-0.6127,0.0,0.0,0.0,0.0,0.803359576083,0.595494241379
9,base,tool0_controller,0.166384701058,-0.81002219309,0.200028403023,0.707048426717,5.8805697615e-05,4.84193518292e-05,0.707165126738
10,base,tool0_controller,0.166402929593,-0.809995585391,0.200049262714,0.707052389642,8.91869009457e-05,5.60066862943e-05,0.707161160706
11,base,tool0_controller,0.16635413961,-0.810006012386,0.200029926149,0.707053853123,5.44593117288e-05,2.1246217068e-05,0.707159702873
12,base,tool0_controller,0.166385993678,-0.809997663653,0.20001122248,0.707067413144,5.57242206123e-05,5.76183715751e-05,0.707146142494
13,base,tool0_controller,0.166382182043,-0.809992726754,0.200043503916,0.707058768731,6.26652398307e-05,2.96111251701e-05,0.707154786986
14,base,tool0_controller,0.166417902434,-0.810006906795,0.199991978348,0.707078040738,0.00011524675058,5.34318695483e-05,0.707135509057
15,base,tool0_controller,0.166416328899,-0.809988673305,0.199996387187,0.707085154273,0.000103281959783,7.36874204006e-05,0.707128396057
