,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.837000,797.860840,-954.900085,1210.850586,-20.814283,-5.690842,-17.870798,1
0.849000,796.641785,-955.435608,1210.903076,-20.858061,-5.641584,-17.853809,1
0.862000,795.873230,-955.750671,1210.909790,-20.880337,-5.614635,-17.853170,1
0.874000,797.113525,-955.082214,1210.789795,-20.833040,-5.660379,-17.864601,1
0.887000,796.470886,-955.287598,1210.783203,-20.850172,-5.636834,-17.864153,1
0.899000,796.959961,-955.456970,1210.996216,-20.852659,-5.656915,-17.858746,1
0.912000,797.245911,-955.165710,1210.846924,-20.832401,-5.669718,-17.871201,1
0.924000,796.801392,-955.792786,1211.155273,-20.870253,-5.652820,-17.853428,1
0.937000,796.741455,-955.009155,1210.664551,-20.837353,-5.641576,-17.859879,1
0.949000,798.596375,-956.316040,1211.832642,-20.864679,-5.738162,-17.861917,1
0.962000,795.919067,-954.602173,1210.239136,-20.831030,-5.601960,-17.860189,1
0.974000,797.454956,-955.774536,1211.242188,-20.860079,-5.680455,-17.855494,1
0.987000,797.442261,-955.683716,1211.190918,-20.853676,-5.682233,-17.862989,1
0.999000,797.633240,-954.705444,1210.662354,-20.808695,-5.679359,-17.872234,1
1.012000,797.852722,-955.293518,1211.049316,-20.832970,-5.693445,-17.863634,1
1.024000,795.872986,-954.866638,1210.367554,-20.842222,-5.604912,-17.860767,1
1.037000,797.946411,-954.385193,1210.527710,-20.792742,-5.686506,-17.870052,1
1.049000,796.468506,-954.860168,1210.504883,-20.834005,-5.629687,-17.861717,1
1.062000,795.456055,-954.747620,1210.216675,-20.842640,-5.586380,-17.861315,1
1.074000,795.647034,-955.885254,1210.953979,-20.886896,-5.613462,-17.862438,1
1.087000,795.989746,-954.933044,1210.458496,-20.841949,-5.611646,-17.864138,1
1.099000,796.714294,-956.067383,1211.309570,-20.878796,-5.659598,-17.864273,1
1.112000,797.510132,-955.535767,1211.134766,-20.846792,-5.683850,-17.865601,1
1.124000,797.919800,-955.866211,1211.394897,-20.855112,-5.704378,-17.863041,1
1.137000,798.105896,-955.436279,1211.192627,-20.832560,-5.708994,-17.870384,1
1.149000,795.298950,-954.243225,1209.881226,-20.823486,-5.572728,-17.863077,1
1.162000,798.060913,-955.757080,1211.385010,-20.848333,-5.709727,-17.865139,1
1.174000,798.723572,-955.934326,1211.648926,-20.845428,-5.740484,-17.868231,1
1.187000,797.818604,-955.915588,1211.401245,-20.857943,-5.701122,-17.863525,1
1.199000,797.663818,-955.683411,1211.242065,-20.851074,-5.691796,-17.864332,1
1.212000,797.192871,-954.954041,1210.698486,-20.826515,-5.662883,-17.867373,1
1.224000,797.535645,-955.278809,1210.969482,-20.834476,-5.682080,-17.868191,1
1.237000,797.289490,-955.915833,1211.294922,-20.864697,-5.679938,-17.864016,1
1.249000,796.380493,-955.341675,1210.783447,-20.855255,-5.632072,-17.859665,1
1.262000,797.973694,-955.112366,1210.979248,-20.822176,-5.697640,-17.868372,1
1.274000,795.550781,-955.353882,1210.611206,-20.865454,-5.599371,-17.862221,1
1.287000,798.030029,-955.371094,1211.174805,-20.835443,-5.699784,-17.860237,1
1.299000,796.282349,-954.862244,1210.500854,-20.835733,-5.622694,-17.864536,1
1.312000,798.057251,-955.443481,1211.213501,-20.833786,-5.706412,-17.870047,1
1.324000,798.124146,-954.799622,1210.866699,-20.806927,-5.700629,-17.872168,1
1.337000,796.381348,-955.582642,1210.935059,-20.865366,-5.635333,-17.858969,1
1.349000,796.233215,-954.529846,1210.284424,-20.820276,-5.618869,-17.871384,1
1.362000,796.319397,-955.591370,1210.920776,-20.865780,-5.635029,-17.862120,1
1.374000,797.535706,-955.064331,1210.882202,-20.824892,-5.682708,-17.874866,1
1.387000,797.447083,-955.038452,1210.858887,-20.822290,-5.681604,-17.881880,1
1.399000,797.582275,-955.194885,1210.962158,-20.828424,-5.688199,-17.879295,1
1.412000,797.974426,-954.975342,1210.887573,-20.806183,-5.711023,-17.903469,1
1.424000,799.501221,-955.464905,1211.480103,-20.804098,-5.783039,-17.911703,1
1.437000,800.818909,-954.830261,1211.377808,-20.753277,-5.837995,-17.939653,1
1.449000,799.345154,-955.278931,1211.240112,-20.782028,-5.795479,-17.968973,1
1.462000,799.620850,-956.047668,1211.657104,-20.799896,-5.831736,-18.006495,1
1.474000,801.613953,-955.520203,1211.671631,-20.725780,-5.939641,-18.094086,1
1.487000,799.932373,-955.504333,1211.127441,-20.718275,-5.909766,-18.191908,1
1.499000,804.372986,-955.780945,1212.109985,-20.631485,-6.146050,-18.319916,1
1.512000,808.382324,-956.326965,1213.187378,-20.554546,-6.374796,-18.466408,1
1.524000,813.033691,-956.559631,1214.165649,-20.450405,-6.631793,-18.631342,1
1.537000,812.410767,-958.047058,1214.574463,-20.470058,-6.689416,-18.789103,1
1.549000,819.866943,-959.220886,1216.715942,-20.352852,-7.085554,-18.984913,1
1.562000,825.069031,-958.831848,1217.452759,-20.196672,-7.371806,-19.198784,1
1.574000,829.405579,-960.538818,1219.180054,-20.144228,-7.644601,-19.386145,1
1.587000,829.943054,-960.496765,1218.963135,-20.065588,-7.746220,-19.598879,1
1.599000,837.621765,-961.580444,1221.263306,-19.922312,-8.163702,-19.825663,1
1.612000,836.479736,-961.028198,1220.431396,-19.829435,-8.207879,-20.071972,1
1.624000,842.420349,-962.520142,1222.652588,-19.712654,-8.577443,-20.320507,1
1.637000,841.523438,-963.628540,1222.901123,-19.684574,-8.656445,-20.552870,1
1.649000,844.607849,-964.347290,1223.961548,-19.585192,-8.883541,-20.778477,1
1.662000,849.010498,-965.787964,1225.715088,-19.505867,-9.161707,-20.971495,1
1.674000,851.457092,-966.395752,1226.429077,-19.445330,-9.317321,-21.105104,1
1.687000,856.891357,-966.074036,1227.396484,-19.325680,-9.548605,-21.181974,1
1.699000,860.680298,-965.665283,1227.859985,-19.246191,-9.693183,-21.212133,1
1.712000,865.009521,-966.091980,1229.090820,-19.177019,-9.896035,-21.274984,1
1.724000,866.937195,-965.203735,1229.000610,-19.047413,-10.029172,-21.438391,1
1.737000,864.447815,-966.635010,1229.243286,-19.078535,-10.030183,-21.588289,1
1.749000,862.799500,-967.425537,1229.466919,-19.071070,-10.054600,-21.737453,1
1.762000,857.452393,-967.400818,1228.121582,-19.093969,-9.912948,-21.877113,1
1.774000,854.705200,-966.999451,1227.376953,-19.055264,-9.876140,-22.033415,1
1.787000,854.472839,-969.786865,1229.255249,-19.115396,-9.987139,-22.153261,1
1.799000,850.538696,-968.568359,1227.647583,-19.068571,-9.883615,-22.298815,1
1.812000,847.216125,-968.008118,1226.584961,-19.043879,-9.816051,-22.438469,1
1.824000,844.543335,-963.109375,1222.928101,-18.820393,-9.715303,-22.640676,1
1.837000,843.786438,-957.564758,1219.318115,-18.545216,-9.682196,-22.849779,1
1.849000,840.864136,-943.741516,1210.250977,-17.998983,-9.401790,-23.052835,1
1.862000,836.745728,-921.220764,1196.292603,-17.134722,-8.933923,-23.302366,1
1.874000,827.776733,-884.493225,1174.255127,-15.827437,-8.036494,-23.576750,1
1.887000,817.741211,-830.483276,1145.149780,-13.904515,-6.831439,-23.910257,1
1.899000,799.907043,-768.714050,1113.779907,-11.846509,-5.233073,-24.245243,1
